Beneficiary,Quantity Retired
Total Not Disclosed,189428622.0
DL,13118083.0
Delta Air Lines,11290979.0
Shell,10814265.0
"LSB Industries, Inc.",7608739.0
AUDI AG,7514657.0
Eni Upstream,6485945.0
Telstra Corporation Limited,5874959.0
PRIMAX COLOMBIA S.A identificada con Nit: 860.002.554-8,5250000.0
Blue Source,5110876.0
Greenchoice,4717011.0
Volkswagen Marke Pkw,3937493.0
GP-2,3893245.0
"3Degrees Group, Inc",3768638.0
The Boeing Company,3594157.0
"Climate Impact Partners, LLC",3529169.0
Marke VW Pkw,3313321.0
Takeda Pharmaceutical Company,3231968.0
The Climate Trust,3105748.0
"Interface, Inc.",2947004.0
"Element Markets, LLC",2809691.0
"ALT Holdings, LLC",2749060.0
"Element Markets Emissions, LLC",2745791.0
Schneider Electric,2736456.0
"GreenPrint, LLC",2731319.0
487,2728866.0
