Date,Country,Main indicators & events,Time
2019-02-20,JN,Trade Balance Adjusted,00:50
2019-02-20,GE,PPI YoY,08:00
2019-02-20,EC,Consumer Confidence,16:00
2019-02-20,US,FOMC Meeting Minutes,20:00
2019-02-21,JN,Nikkei Japan PMI Mfg,01:30
2019-02-21,GE,CPI EU Harmonized YoY,08:00
2019-02-21,FR,Business Confidence,08:45
2019-02-21,FR,CPI EU Harmonized YoY,08:45
2019-02-21,EC,Markit Eurozone Man. PMI,10:00
2019-02-21,EC,Markit Eurozone Services PMI,10:00
2019-02-21,UK,PSNB ex Banking Groups,10:30
2019-02-21,EC,ECB Accounts of January Meeting,13:30
2019-02-21,US,Fed's Bostic on Eco. and Mon. Policy,13:50
2019-02-21,US,Philadelphia Fed Business Outlook,14:30
2019-02-21,US,Initial Jobless Claims,14:30
2019-02-21,US,Cap Goods Orders Nondef Ex Air,14:30
2019-02-21,US,Bloomberg Consumer Comfort,15:45
2019-02-21,US,Markit US Manufacturing PMI,15:45
2019-02-21,US,Markit US Services PMI,15:45
2019-02-21,US,Leading Index,16:00
2019-02-21,US,Existing Home Sales MoM,16:00
2019-02-21,US,EIA Natural Gas Storage Change
2019-02-21,US,DOE U.S. Crude Oil Inventories
2019-02-22,JN,Natl CPI YoY,00:30
2019-02-22,CH,New Home Prices MoM,02:30
2019-02-22,GE,GDP SA QoQ,08:00
2019-02-22,GE,IFO Business Climate,10:00
2019-02-22,EC,CPI YoY,11:00
2019-02-22,EC,ECB President Draghi Speaks in Bologna,16:30
2019-02-22,US,Baker Hughes U.S. Rotary Oil Rigs,19:00
