Month,Wind-onshore,Wind-offshore,Wind-unknown,Hydro/marine,Unspecifiedmechanical/other,Unspecifiedrenewableenergy,Unspecifiedheat,Solar,Geothermal,Solid-agriculturalbiomass(inc.energycrops),Solid-agriculturalproducts,Solid-renewablefuels(inc.For&Agbp&w),Solid-forestryproducts,Solid-forestryby-products&waste,Gas-landfill,Gas-sewage,Gas-otherbiogas,Solid-municipalbiogenicwaste,Liquid-renewablefuels(inc.Mun.waste),Liquid-blackliquor,Solid-unspecifiedwood,Solid-industrial&commercialwaste,Unknown,Unknown,Solid-Unknown,Solid-Hardcoal,Solid-Browncoal,Solid-Peat,Solid-Municipalsolidwaste,Solid-Industrialandcommercialwaste,Liquid-Unknown,Liquid-Crudeoil,Liquid-Naturalgas,Liquid-Petroleumproducts,Gaseous-Unknown,Gaseous-Naturalgas,Gaseous-Coal-derivedgas,Gaseous-Petroleumproducts,Gaseous-Municipalgasplant,Gaseous-Processgas,Heat-unknown,Heat-Processheat,Total
01/01/2002,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
01/02/2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/03/2002,0,0,0,20779,0,0,0,0,0,2,0,27001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47782
01/04/2002,0,0,0,77659,0,0,0,0,0,1,0,34672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112332
01/05/2002,483,0,0,112099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112582
01/06/2002,4700,0,0,374510,0,0,0,0,0,1303,0,63870,0,0,0,0,0,1097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445480
01/07/2002,2185,0,0,278738,0,0,0,0,0,0,0,31414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312337
01/08/2002,2095,0,0,286036,0,0,0,0,0,0,0,12930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301061
01/09/2002,4894,0,0,464366,0,0,0,0,0,0,0,830313,0,0,8435,0,0,0,0,0,0,31001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1339009
01/10/2002,7316,0,0,327496,0,0,0,0,1125,0,0,31869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367806
01/11/2002,19226,0,0,705663,0,0,0,0,0,11144,0,1027464,0,0,0,0,0,1858,0,0,0,963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1766318
01/12/2002,5537,0,0,289905,0,0,0,0,0,2072,0,99583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,397097
01/01/2003,13192,0,0,264990,0,0,0,0,0,7569,0,78409,0,0,0,1310,0,124,0,0,0,4003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369597
01/02/2003,988,186,0,40153,0,0,0,0,0,0,0,651166,0,0,414,22844,0,0,0,0,0,25127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,740878
01/03/2003,18546,0,0,118606,0,0,0,0,5828,0,0,1092263,0,0,104,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1235592
01/04/2003,429,0,0,246308,0,0,0,0,0,8000,0,268178,0,0,55,192,0,0,0,0,0,3174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,526336
01/05/2003,35823,0,0,191143,0,0,0,0,0,0,0,318549,0,0,169,493,0,0,0,0,0,2329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,548506
01/06/2003,10326,0,0,334746,0,0,0,0,0,0,0,1780975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2126047
01/07/2003,27565,0,0,124091,0,0,0,0,0,0,0,276570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428226
01/08/2003,4027,0,0,9160,0,0,0,0,0,0,0,567684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,580871
01/09/2003,11273,0,0,123822,0,0,0,0,0,0,0,221217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356312
01/10/2003,4627,0,0,104803,0,0,0,0,4689,30563,0,331992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476674
01/11/2003,11675,0,0,73044,0,0,0,0,0,0,0,534140,0,0,0,83,0,0,0,0,0,20039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,638981
01/12/2003,15267,0,0,129029,0,0,0,0,0,5946,0,80767,0,0,0,14,0,2902,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234139
01/01/2004,9192,0,0,30441,0,0,0,13,0,0,0,928073,0,0,0,19,0,0,0,0,0,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,967990
01/02/2004,26122,0,0,181284,0,0,0,0,0,0,0,456616,0,0,0,13,0,0,0,0,0,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,664273
01/03/2004,11662,0,0,84768,0,0,0,0,0,0,0,36459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132889
01/04/2004,83550,0,0,49045,0,0,0,0,0,0,0,166934,0,0,0,0,0,52837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352366
01/05/2004,5519,0,0,132262,0,0,0,0,0,1631,0,311979,0,0,0,0,0,0,0,0,0,3980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,455371
01/06/2004,633,5662,0,393031,0,0,0,0,0,43587,0,469484,0,0,0,0,0,30720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,943117
01/07/2004,3754,3159,0,115404,0,0,0,0,0,2219,0,462403,0,0,456,377,0,30299,0,0,0,12365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630436
01/08/2004,33292,0,0,261282,0,0,0,1,0,44,0,788511,0,0,5862,586,0,31240,0,0,0,27635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1148453
01/09/2004,85604,1301,0,729291,0,0,0,2,0,5629,0,704093,0,0,7748,1136,0,0,0,0,0,34800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1569604
