Month,Biomass,Hydro,Wind,Solar,Other RES
2010-01-01,190990,9616537,135947,984,0
2010-02-01,187196,9772878,166017,855,0
2010-03-01,185319,7596075,167990,3870,0
2010-04-01,194457,5405575,138297,8998,0
2010-05-01,200111,6101228,136908,9800,0
2010-06-01,158938,5454434,96321,12146,0
2010-07-01,190290,5791737,111022,14241,0
2010-08-01,164354,5873285,131627,10052,0
2010-09-01,143484,5591447,158128,8470,0
2010-10-01,141639,7428132,165814,5764,166843
2010-11-01,123872,8366288,116214,1187,0
2010-12-01,137977,4836661,193957,450,0
2011-01-01,154225,6854407,467007,5570,0
2011-02-01,168394,7046990,486817,6209,0
2011-03-01,199856,7742401,461553,18664,0
2011-04-01,171259,7365449,304162,26024,0
2011-05-01,291765,8291736,279104,31553,0
2011-06-01,190164,9124171,267867,27313,0
2011-07-01,201633,8665077,247551,26651,0
2011-08-01,180687,9509785,323047,23441,0
2011-09-01,212023,10299105,373772,11556,0
2011-10-01,320054,11055776,306795,4451,0
2011-11-01,425620,11707412,422025,1330,264
2011-12-01,416037,10820869,959227,680,179
2012-01-01,764587,19629306,1243072,864,136695
2012-02-01,696613,16126793,1015504,1548,155705
2012-03-01,614285,15294057,1147411,5411,22882
2012-04-01,724120,15926531,862586,3291,13673
2012-05-01,579059,15402961,729045,4946,16035
2012-06-01,520889,15984432,874094,17296,6041
2012-07-01,689044,16522146,822190,21458,12011
2012-08-01,662165,16232674,728552,33534,75000
2012-09-01,640542,15202724,1090361,30162,0
2012-10-01,774938,16345569,1080390,9589,0
2012-11-01,766231,16596128,1195246,7686,75000
2012-12-01,981100,19247680,1798818,8895,0
2013-01-01,1526545,19765541,1794855,6494,609690
2013-02-01,1542771,17312505,1347082,11041,589926
2013-03-01,1622130,15372132,2068667,28886,619737
2013-04-01,1369686,14039137,1756245,52798,536348
2013-05-01,1398718,17031114,1449802,62324,577472
2013-06-01,1125568,15733390,1583026,60490,542731
2013-07-01,1217308,17214345,936852,65736,429613
2013-08-01,1283677,13558724,1197229,55869,224054
2013-09-01,1483698,12341210,1402511,51057,580493
2013-10-01,1612694,14467678,2232707,22454,592506
2013-11-01,1679765,15769604,2082318,10793,519144
2013-12-01,1749509,16496334,3253172,19791,474818
2014-01-01,2019858,13601268,3345769,66983,254478
2014-02-01,1715262,11922573,2780961,20285,183704
