Thousand tonnes,Australia,Canada,China,Cuba,Democratic Republic of Congo,Madagascar,Morocco,New Caledonia,Papua New Guinea,Philippines,Russian Federation,South Africa,Zambia,Rest of World
1995,0.824,5.339,0.98,1.591,1.67,0,0.537,1.1,0,0,3.5,0.288,2.931,1.894
1996,0.942,5.714,0.19,2.011,2,0,0.565,1.1,0,0,3.3,0.35,4.829,2.014
1997,1.219,5.709,0.2,2.358,3.5,0,0.714,1,0,0,3.3,0.465,4.028,1.81
1998,1.269,5.861,0.04,2.665,5,0,0.287,1,0,0,3.6,0.435,4.961,1.823
1999,1.01034484863281,5.323,0.25,2.537,7,0,0.863,1.1,0,0,3.9,0.45,4.378,2.202
2000,3.59847998046875,5.298,0.09,2.852,11,0,0.967,1.2,0,0,4,0.58,2.877,2.337
2001,4.31193994140625,5.326,0.15,3.425,12,0,1.242,1.4,0,0,4.6,0.56,4.182,2.473
2002,4.854,5.148,1,3.442,14.6,0,1.453,2.78,0,0,4.6,0.52,3.99,2.517
2003,5.12,4.327,0.7,3.274,14.8,0,1.391,2.602,0,0.1,6.1,0.48,3.211,2.474
2004,4.55,5.06,1.26,3.554,20.2,0,1.6,2.726,0,0.1,6,0.61,6.082,2.513
2005,4.11,5.767,2.1,4.798,24.5,0,1.6,1.769,0,0.3,6.3,0.62,5.529,3.214
2006,5.05,7.115,1.84,5.602,27.1,0,2.6,1.629,0,0.9,6.3,0.6,4.658,2.937
2007,4.74,8.692,1.84,4.54,25.4,0,1.8,2.25,0,1,6.3,0.6,4.69,4.53
2008,4.79,8.953,1.84,4,42.461,0,1.7,2.11,0,1.2,6.2,0.59,4.613,4.471
2009,4.63,3.919,1.84,4.6,56.103,0,2.61,2,0,1.4,6.1,0.61,5.879,3.841
2010,3.85,4.636,1.5,4.8,84.005,0.165,3.11,2.85,0,2.1,6.2,1.8,8.648,5.798
2011,3.85,6.836,1.5,5.1,99.475,0.5,2.16,3.1,0,2,6.1,1.6,7.702,8.319
2012,5.88,3.698,1.5,4.7,86.433,0.6,2,2.67,0.469,2.7,6.3,2.5,5.435,9.851
2013,6.4,4.005,1.5,4,76.572,2.4,2,3.19,1.013,2.8,6.3,3,5.919,11.383
2014,6.201255859375,3.907,1.5,3.7,76.4749609375,3.4,2.15,4.04,2.134,4.6,6.3,3,4.562,7.464
2015,6.03,4.339,1.5,4.3,84.4004765625,4,2.25,3.69,2.505,4.3,6.2,2.9,2.979,7.074
2016,5.47,4.216,1.5,5.1,69.0382890625,3.8,2.72986889648437,3.39,2.19,4.1,5.5,2.3,4.982,4.80428482055664
2017,5.8,3.704,1.5,5,90.31940625,3.40519480519481,2.52391528320312,2.8,3.31,4.6,5.9,2.3,2.6489,3.98
2018,4.9,3.524,3.1,4.49041932796445,109.4023,2.8474,2.1,1.661,3.28,4.437341917,6.1,2.3,1.585,2.824
2019,5.7,3.336,2.5,4.6875867814496,77.9637,2.8885,2.3,1.24,2.91,4.62635712,6.3,2.1,4.2686,2.954
2020,5.6602787456446,3.2,2.3,4.67925576228825,85.855,0.7,1.9,0.681,2.8,4.46534568196185,6.3,1.8,4.2686,3.054
