,SARS Number of cases,SARS Number of deaths,SARS Fatality rate,Coronavirus Number of cases,Coronavirus Number of deaths,Coronavirus Fatality rate,Cases - China,Cases - Outside China,New cases - China,New cases - Outside China
1,1,0,0,1,1,0,1,0,0,0
2,1,0,0,1,0,0,1,0,0,0
3,1,0,0,1,0,0,1,0,0,0
4,1,0,0,44,0,0,44,0,43,0
5,1,0,0,44,0,0,44,0,0,0
6,1,0,0,44,0,0,44,0,0,0
7,1,0,0,44,0,0,44,0,0,0
8,1,0,0,44,0,0,44,0,0,0
9,1,0,0,44,0,0,44,0,0,0
10,1,0,0,44,0,0,44,0,0,0
11,1,0,0,44,0,0,44,0,0,0
12,1,0,0,44,0,0,44,0,0,0
13,1,0,0,44,0,0,44,0,0,0
14,1,0,0,44,0,0,44,0,0,0
15,1,0,0,44,0,0,44,0,0,0
16,1,0,0,44,0,0,44,0,0,0
17,1,0,0,44,0,0,44,0,0,0
18,1,0,0,44,0,0,44,0,0,0
19,1,0,0,44,0,0,44,0,0,0
20,167,4,2.395209581,44,0,0,44,0,0,0
21,219,4,1.826484018,282,6,2.127659574,282,0,238,0
22,264,9,3.409090909,314,6,1.910828025,310,4,28,4
23,306,10,3.267973856,314,6,1.910828025,309,5,-1,1
24,350,10,2.857142857,581,17,2.925989673,571,10,262,5
25,386,11,2.849740933,846,25,2.955082742,830,16,259,6
26,386,11,2.849740933,1320,41,3.106060606,1297,23,467,7
27,456,17,3.728070175,2014,56,2.780536246,1985,29,688,6
28,487,17,3.490759754,2798,80,2.859185132,2761,37,776,8
29,1323,49,3.703703704,4593,106,2.307859787,4537,56,1776,19
30,1408,53,3.764204545,6065,132,2.176422094,5997,68,1460,12
31,1485,53,3.569023569,7818,170,2.174469174,7736,82,1739,14
32,1550,54,3.483870968,9826,213,2.167718298,9720,106,1984,24
33,1550,54,3.483870968,11953,259,2.166820045,11821,132,2101,26
34,1622,58,3.575832306,14557,305,2.095211926,14411,146,2590,14
35,1804,62,3.436807095,17391,362,2.081536427,17238,153,2827,7
36,2223,78,3.50877193,20630,426,2.064953951,20471,159,3233,6
37,2270,79,3.480176211,24554,492,2.003746844,24363,191,3892,32
38,2353,84,3.569910752,28276,565,1.998160985,28060,216,3697,25
39,2416,89,3.683774834,31481,638,2.026619231,31211,270,3151,54
40,2416,89,3.683774834,34886,724,2.075331078,34598,288,3387,18
41,2601,98,3.767781622,37558,813,2.164652005,37251,307,2653,19
42,2671,103,3.85623362,40554,910,2.243921685,40235,319,2984,12
43,2722,106,3.894195445,43103,1018,2.361784563,42708,395,2473,76
44,2781,111,3.991370011,45171,1115,2.468397866,44730,441,2022,46
