Year,Austria,Belgium,Switzerland,Czech Republic,Germany,Denmark,Estonia,Spain,Finland,France,Croatia,Hungary,Ireland,Iceland,Italy,Lithuania,Luxembourg,Latvia,Netherlands,Norway,Portugal,Serbia,Sweden,Slovenia,Slovakia
2010,10.736277,11.689764,0.977608,0,2.841972,2.442046,0,0,16.082485,0.017109,0,0,0,0,0,0,0.019916,0,0.416963,85.524565,0.025,0,17.158469,0.1,0
2011,9.904395,6.295966,1.167852,0,2.208085,5.264978,0,1.637513,33.169239,1.667207,0,0,0,0,6.082593,0,0.02683,0,3.293122,99.330354,0.51939,0,13.578696,0.100001,0
2012,4.474979,8.660632,2.005,0,5.033901,6.753625,0,1.715138,35.359816,0.205126,0,0,0,3.509015,4.388067,0,0.27796,0,3.817412,134.497256,0.412865,0,17.274307,0,0
2013,12.630681,20.851316,4.760297,0,4.316324,8.787604,0,0.398197,32.329412,7.876492,0,0,0,10.432088,0.408579,0,0.274518,0,6.353822,115.385368,0.095,0,24.637619,0,0
2014,14.64293,19.387393,7.149631,0,4.824014,7.176803,0,0.228546,17.177936,14.912064,0,0,0,9.801262,2.104246,0,0.165981,0,7.94497,116.935996,0,0,26.903557,0,0
2015,13.27689,24.886835,7.542293,0,6.369903,8.642034,0.744502,0.155963,14.413516,21.034826,0,0,0.014038,5.825841,11.363977,0,0.22912,0,4.253635,137.870534,0.0118,0,31.168276,0,0
2016,13.713446,25.598485,6.854268,0,5.861011,12.395134,0.653583,3.006144,20.017954,24.599911,0.136287,0,0.0933,7.596836,25.525831,0,0.38422,0,3.956287,161.872336,0,0,29.304056,0,0
2017,13.879422,26.911645,4.94271,1.231732,7.765002,14.285934,1.398725,12.520719,14.554562,25.675959,0.176952,0,0.491224,17.115364,47.85487,0,0.881484,0,4.930827,209.602452,0,0,25.681278,0,0
2018,19.774496,45.595977,4.587507,2.796346,12.393142,17.31778,1.84357,21.008756,21.920458,23.831036,0.555101,0,0.67185,16.287697,52.25062,0,0.315301,0,13.80404,234.944195,0,0,47.300016,2.243628,0
2019,19.081652,50.294775,5.56069,5.568668,8.066285,23.007826,3.57733,26.938785,24.785914,37.387873,3.015391,0,0.375459,14.155778,61.650724,0,0.947245,0,16.643086,257.092109,0,0,44.092057,3.393753,0
2020,15.8025,32.323852,8.291631,4.867966,11.200094,18.699576,4.960589,21.404896,29.288862,38.342183,3.893158,0,0.459461,13.910506,61.889027,0,1.166193,0,18.137581,263.737677,0.200001,0.000001,64.893708,4.422307,0.01
2021,16.769497,30.386908,7.410044,4.582607,11.350212,27.857236,7.474067,30.875705,30.00873,52.273834,4.106646,0,1.496417,14.828219,59.060229,0.266952,0.975694,1.951993,20.799525,292.897657,17.016906,0,62.984753,4.157861,0.787506
2022,10.033854,19.377229,1.895571,2.524683,12.494651,28.907689,4.089122,18.541047,19.243508,46.912875,2.682294,0.508547,0.347933,9.956364,32.317359,0.280776,0.585983,1.518172,14.436902,244.513886,18.870369,0,44.878725,2.299183,0.579983
