Name,Latitude,Longitude,Nb_units
BELLEVILLE,47.510534,2.8761864,2
BLAYAIS,45.255833,0.693056,4
BUGEY,45.798333,5.270833,4
CATTENOM,49.4158,6.2181,4
CHINON,47.230556,0.170556,4
CHOOZ,50.09,4.789444,2
CIVAUX,46.456667,0.652778,2
CRUAS,44.633056,4.756667,4
DAMPIERRE,47.7336808,2.5172853,4
FESSENHEIM,47.9032247,7.5623059,2
FLAMANVILLE,49.536389,-1.881667,2
GOLFECH,44.1067,0.8453,2
GRAVELINES,51.015278,2.136111,6
NOGENT,48.515278,3.517778,2
PALUEL,49.858056,0.635556,4
PENLY,49.976667,1.211944,2
ST-ALBAN,45.4042957,4.7555351,2
ST-LAURENT,47.72,1.5775,2
TRICASTIN,44.329722,4.732222,4
