Name,Quarter,Value
EURUSD,Q1 18,1.2295
EURUSD,Q2 18,1.192433333
EURUSD,Q3 18,1.163133333
EURUSD,Q4 18,1.141133333
EURUSD,Q1 19,1.140633333
EURUSD,Q2 19,1.166666667
EURUSD,Q3 19,1.206666667
EURUSD,Q4 19,1.233333333
EURGBP,Q1 18,0.883233333
EURGBP,Q2 18,0.876066667
EURGBP,Q3 18,0.892333333
EURGBP,Q4 18,0.8872
EURGBP,Q1 19,0.88557796
EURGBP,Q2 19,0.897418701
EURGBP,Q3 19,0.880918141
EURGBP,Q4 19,0.87263962
Brent,Q1 18,67.1762
Brent,Q2 18,74.90343333
Brent,Q3 18,75.96766667
Brent,Q4 18,68.0844
Brent,Q1 19,63.0803
Brent,Q2 19,62
Brent,Q3 19,60
Brent,Q4 19,61
TTFyear ahead,Q1 18,17.07166667
TTF year ahead,Q2 18,19.48666667
TTF year ahead,Q3 18,22.71716667
TTF year ahead,Q4 18,23.43
TTF year ahead,Q1 19,19.82333333
TTF year ahead,Q2 19,18.76666667
TTF year ahead,Q3 19,18.55
TTF year ahead,Q4 19,18.8
German power year ahead,Q1 18,34.95749206
German power year ahead,Q2 18,40.30557143
German power year ahead,Q3 18,48.59
German power year ahead,Q4 18,49.15333333
German power year ahead,Q1 19,48.66666667
German power year ahead,Q2 19,46.33333333
German power year ahead,Q3 19,46.66666667
German power year ahead,Q4 19,48
EUA next year,Q1 18,9.87
EUA next year,Q2 18,14.69
EUA next year,Q3 18,19.40333333
EUA next year,Q4 18,18.63666667
EUA next year,Q1 19,22.16666667
EUA next year,Q2 19,22.5
EUA next year,Q3 19,23.33333333
EUA next year,Q4 19,24
