Dates,macro.us.rate.gdp.quarter.yoy.pct,macro.eu.rate.gdp.quarter.yoy.pct,macro.jp.rate.gdp.quarter.yoy.pct,macro.uk.rate.gdp.quarter.yoy.pct,macro.cn.rate.gdp.quarter.yoy.pct,macro.in.rate.gdp.quarter.yoy.pct,macro.bz.rate.gdp.quarter.yoy.pct,macro.ru.rate.gdp.quarter.yoy.pct,macro.ad.rate.quarter.yoy.pct,macro.em.rate.quarter.yoy.pct,macro.wd.rate.quarter.yoy.pct,macro.bd.rate.quarter.yoy.pct,macro.fr.rate.quarter.yoy.pct,macro.it.rate.quarter.yoy.pct,macro.es.rate.quarter.yoy.pct
2006-03-31,3.20,2.90,2.50,3.50,12.50,9.90,4.28,7.30,3.33,7.86,5.59,2.85,2.29,1.75,4.07
2006-06-30,3.00,3.40,1.40,2.90,13.70,9.30,2.28,8.10,3.24,8.15,5.62,4.08,3.06,1.68,4.16
2006-09-30,2.30,3.20,0.20,2.20,12.20,9.80,4.49,8.20,2.66,7.87,5.14,3.98,2.57,1.48,4.12
2006-12-31,2.60,3.80,1.50,1.80,12.50,9.40,4.80,8.90,3.15,8.08,5.54,5.06,2.64,2.62,4.07
2007-03-31,1.50,3.50,2.20,2.00,13.80,9.80,5.20,8.10,2.78,7.98,5.45,4.14,2.59,2.23,3.83
2007-06-30,1.90,3.10,1.80,2.10,15.00,9.70,6.54,8.60,2.76,8.80,5.72,3.23,2.21,1.73,3.75
2007-09-30,2.40,3.00,1.40,2.60,14.30,9.50,5.87,8.20,2.91,8.26,5.64,2.95,2.64,1.53,3.59
2007-12-31,2.20,2.30,0.60,2.30,13.90,9.60,6.64,9.20,2.44,8.35,5.36,2.09,2.08,-0.09,3.26
2008-03-31,1.40,2.20,0.40,2.20,11.50,8.60,6.16,9.20,1.91,8.36,5.05,2.66,1.82,1.18,2.54
2008-06-30,1.40,1.10,-0.40,1.20,10.90,9.80,6.34,7.90,1.32,8.14,4.60,1.57,0.61,0.04,1.74
2008-09-30,0.20,0.20,-1.00,-1.00,9.50,8.50,6.98,6.40,0.25,7.01,3.51,0.41,-0.05,-1.41,0.78
2008-12-31,-2.50,-2.20,-3.90,-3.30,7.10,5.80,1.02,-1.30,-2.34,3.26,0.49,-1.85,-1.73,-3.67,-1.48
2009-03-31,-3.30,-5.70,-9.00,-5.60,6.40,3.50,-2.42,-9.20,-4.61,-0.33,-2.08,-7.03,-3.87,-7.30,-4.25
2009-06-30,-4.00,-5.40,-6.60,-5.50,8.20,5.90,-2.20,-11.20,-4.48,0.89,-1.53,-6.66,-3.37,-6.71,-4.36
2009-09-30,-3.10,-4.50,-5.40,-4.00,10.60,9.30,-1.16,-8.60,-3.50,3.37,0.03,-5.53,-3.03,-5.00,-3.99
2009-12-31,0.10,-2.30,-1.70,-1.70,11.90,7.70,5.33,-2.60,-0.67,5.31,2.51,-3.29,-0.84,-2.12,-2.43
2010-03-31,1.80,1.30,4.40,0.80,12.20,11.40,9.21,4.10,2.41,8.63,5.48,2.28,1.21,0.86,0.15
2010-06-30,2.90,2.20,3.50,2.20,10.80,9.10,8.52,5.00,3.19,7.41,5.46,4.40,1.72,1.94,0.31
2010-09-30,3.30,2.30,5.60,2.90,9.90,8.20,6.91,3.80,3.72,6.39,5.37,4.70,2.19,1.83,0.05
2010-12-31,2.80,2.40,3.00,2.70,9.90,8.70,5.69,5.10,3.19,6.52,5.10,4.77,2.16,2.06,0.14
2011-03-31,2.00,2.90,1.10,2.40,10.20,9.60,5.19,3.30,2.61,7.29,5.16,5.94,2.86,2.27,0.01
2011-06-30,1.70,1.90,-0.90,1.40,10.00,7.60,4.70,3.30,1.78,6.68,4.43,3.71,2.26,1.56,-0.46
2011-09-30,0.90,1.60,-0.30,1.00,9.40,7.00,3.53,5.00,1.37,6.31,4.03,3.76,2.11,0.55,-1.05
2011-12-31,1.50,0.60,0.20,1.00,8.80,6.50,2.57,5.20,1.33,5.79,3.79,2.61,1.62,-0.95,-1.76
2012-03-31,2.60,-0.50,3.00,1.20,8.10,5.80,1.71,5.70,1.68,5.85,4.01,0.88,0.61,-2.49,-2.53
2012-06-30,2.40,-0.70,2.80,1.10,7.70,4.87,0.99,4.90,1.49,5.25,3.64,0.98,0.55,-3.26,-3.16
2012-09-30,2.60,-1.00,-0.10,2.00,7.50,7.49,2.49,3.50,1.15,5.71,3.65,0.38,0.32,-3.25,-3.02
2012-12-31,1.60,-1.00,-0.10,1.60,8.10,5.38,2.48,2.40,0.69,5.43,3.26,0.24,-0.01,-3.06,-3.13
2013-03-31,1.60,-1.20,0.00,1.40,7.90,4.30,2.72,1.10,0.65,4.50,2.77,-0.44,0.03,-2.91,-2.53
2013-06-30,1.30,-0.40,1.80,2.10,7.60,6.45,4.02,1.70,1.09,5.02,3.25,0.44,0.87,-2.17,-1.67
2013-09-30,1.90,0.00,3.00,1.60,7.90,7.34,2.76,1.50,1.62,5.22,3.64,0.73,0.52,-1.43,-1.22
2013-12-31,2.50,0.80,3.10,2.40,7.70,6.53,2.53,2.50,2.24,5.03,3.90,1.48,1.31,-0.90,-0.30
2014-03-31,1.30,1.50,2.90,2.90,7.50,5.34,3.47,0.00,1.93,4.52,3.40,2.91,1.24,0.19,0.39
2014-06-30,2.50,1.20,-0.10,3.10,7.60,8.02,-0.43,0.60,1.99,4.84,3.57,1.82,0.65,0.13,0.95
2014-09-30,2.80,1.40,-1.10,3.00,7.20,8.70,-0.64,1.40,2.06,4.84,3.61,1.78,1.33,0.01,1.75
2014-12-31,2.60,1.50,-0.50,3.00,7.30,5.92,-0.23,0.90,2.08,4.27,3.37,2.30,0.63,-0.04,2.45
2015-03-31,3.80,1.70,0.30,2.70,7.10,7.11,-1.62,-1.50,2.53,4.39,3.58,0.82,1.16,0.07,3.25
2015-06-30,3.00,2.00,2.40,2.60,7.10,7.59,-2.74,-3.10,2.54,4.22,3.51,1.53,1.18,0.49,3.87
2015-09-30,2.20,2.00,2.20,2.50,7.00,8.03,-4.26,-1.70,2.14,4.27,3.31,1.49,0.83,0.63,4.05
2015-12-31,1.90,2.00,1.50,2.60,6.90,7.20,-5.52,-1.60,1.92,3.92,3.03,1.11,1.07,1.44,4.16
2016-03-31,1.60,1.90,1.00,2.40,6.90,9.09,-5.14,-0.20,1.81,4.43,3.27,2.48,1.16,1.44,3.68
2016-06-30,1.40,1.70,0.50,2.30,6.80,8.68,-3.22,0.30,1.58,4.50,3.17,2.18,0.75,1.25,3.01
2016-09-30,1.60,1.70,0.50,2.20,6.80,9.67,-2.46,0.10,1.67,4.78,3.35,2.02,0.81,1.58,2.99
2016-12-31,2.00,2.00,1.00,2.20,6.90,8.58,-2.26,0.50,2.02,4.64,3.48,1.90,1.20,1.34,2.47
2017-03-31,1.90,2.20,1.00,2.40,7.00,6.29,0.29,1.30,2.10,4.51,3.44,2.31,1.33,1.62,2.59
2017-06-30,2.10,2.70,1.40,2.20,7.00,6.11,0.79,2.30,2.40,4.62,3.65,2.68,2.41,1.81,3.26
2017-09-30,2.30,3.00,2.10,2.10,6.90,5.32,1.64,2.60,2.68,4.48,3.74,3.23,3.02,1.63,2.94
2017-12-31,2.70,3.10,2.20,1.80,6.80,7.20,2.56,1.00,2.89,4.77,3.99,3.73,3.03,1.88,3.11
