Maturity,Type,Year,Period
18Q1,Quarter,2018,Q1
18Q2,Quarter,2018,Q2
18Q3,Quarter,2018,Q3
18Q4,Quarter,2018,Q4
Apr18,Monthly,2018,Apr
Aug18,Monthly,2018,Aug
Cal18,Cal,2018,Cal
Dec18,Monthly,2018,Dec
Feb18,Monthly,2018,Feb
Jan18,Monthly,2018,Jan
Jul18,Monthly,2018,Jul
Jun18,Monthly,2018,Jun
Mar18,Monthly,2018,Mar
May18,Monthly,2018,May
Nov18,Monthly,2018,Nov
Oct18,Monthly,2018,Oct
S18,Season,2018,S
Sep18,Monthly,2018,Sep
W18,Season,2018,W
19Q1,Quarter,2019,Q1
19Q2,Quarter,2019,Q2
19Q3,Quarter,2019,Q3
19Q4,Quarter,2019,Q4
Apr19,Monthly,2019,Apr
Aug19,Monthly,2019,Aug
Cal19,Cal,2019,Cal
Dec19,Monthly,2019,Dec
Feb19,Monthly,2019,Feb
Jan19,Monthly,2019,Jan
Jul19,Monthly,2019,Jul
Jun19,Monthly,2019,Jun
Mar19,Monthly,2019,Mar
May19,Monthly,2019,May
Nov19,Monthly,2019,Nov
Oct19,Monthly,2019,Oct
S19,Season,2019,S
Sep19,Monthly,2019,Sep
W19,Season,2019,W
20Q1,Quarter,2020,Q1
20Q2,Quarter,2020,Q2
20Q3,Quarter,2020,Q3
20Q4,Quarter,2020,Q4
Apr20,Monthly,2020,Apr
Aug20,Monthly,2020,Aug
Cal20,Cal,2020,Cal
Dec20,Monthly,2020,Dec
Feb20,Monthly,2020,Feb
Jan20,Monthly,2020,Jan
Jul20,Monthly,2020,Jul
Jun20,Monthly,2020,Jun
Mar20,Monthly,2020,Mar
May20,Monthly,2020,May
Nov20,Monthly,2020,Nov
Oct20,Monthly,2020,Oct
S20,Season,2020,S
Sep20,Monthly,2020,Sep
W20,Season,2020,W
21Q1,Quarter,2021,Q1
21Q2,Quarter,2021,Q2
21Q3,Quarter,2021,Q3
21Q4,Quarter,2021,Q4
Apr21,Monthly,2021,Apr
Aug21,Monthly,2021,Aug
Cal21,Cal,2021,Cal
Dec21,Monthly,2021,Dec
Feb21,Monthly,2021,Feb
Jan21,Monthly,2021,Jan
Jul21,Monthly,2021,Jul
Jun21,Monthly,2021,Jun
Mar21,Monthly,2021,Mar
May21,Monthly,2021,May
Nov21,Monthly,2021,Nov
Oct21,Monthly,2021,Oct
S21,Season,2021,S
Sep21,Monthly,2021,Sep
W21,Season,2021,W
22Q1,Quarter,2022,Q1
22Q2,Quarter,2022,Q2
22Q3,Quarter,2022,Q3
22Q4,Quarter,2022,Q4
Apr22,Monthly,2022,Apr
Aug22,Monthly,2022,Aug
Cal22,Cal,2022,Cal
Dec22,Monthly,2022,Dec
Feb22,Monthly,2022,Feb
Jan22,Monthly,2022,Jan
Jul22,Monthly,2022,Jul
Jun22,Monthly,2022,Jun
Mar22,Monthly,2022,Mar
May22,Monthly,2022,May
Nov22,Monthly,2022,Nov
Oct22,Monthly,2022,Oct
S22,Season,2022,S
Sep22,Monthly,2022,Sep
W22,Season,2022,W
23Q1,Quarter,2023,Q1
23Q2,Quarter,2023,Q2
23Q3,Quarter,2023,Q3
23Q4,Quarter,2023,Q4
Apr23,Monthly,2023,Apr
Aug23,Monthly,2023,Aug
Cal23,Cal,2023,Cal
Dec23,Monthly,2023,Dec
Feb23,Monthly,2023,Feb
Jan23,Monthly,2023,Jan
Jul23,Monthly,2023,Jul
Jun23,Monthly,2023,Jun
Mar23,Monthly,2023,Mar
May23,Monthly,2023,May
Nov23,Monthly,2023,Nov
Oct23,Monthly,2023,Oct
S23,Season,2023,S
Sep23,Monthly,2023,Sep
W23,Season,2023,W
24Q1,Quarter,2024,Q1
24Q2,Quarter,2024,Q2
24Q3,Quarter,2024,Q3
24Q4,Quarter,2024,Q4
Apr24,Monthly,2024,Apr
Aug24,Monthly,2024,Aug
Cal24,Cal,2024,Cal
Dec24,Monthly,2024,Dec
Feb24,Monthly,2024,Feb
Jan24,Monthly,2024,Jan
Jul24,Monthly,2024,Jul
Jun24,Monthly,2024,Jun
Mar24,Monthly,2024,Mar
May24,Monthly,2024,May
Nov24,Monthly,2024,Nov
Oct24,Monthly,2024,Oct
S24,Season,2024,S
Sep24,Monthly,2024,Sep
W24,Season,2024,W
Cal25,Cal,2025,Cal
25Q1,Quarter,2025,Q1
25Q2,Quarter,2025,Q2
25Q3,Quarter,2025,Q3
25Q4,Quarter,2025,Q4
Apr25,Monthly,2025,Apr
Aug25,Monthly,2025,Aug
Dec25,Monthly,2025,Dec
Feb25,Monthly,2025,Feb
Jan25,Monthly,2025,Jan
Jul25,Monthly,2025,Jul
Jun25,Monthly,2025,Jun
Mar25,Monthly,2025,Mar
May25,Monthly,2025,May
Nov25,Monthly,2025,Nov
Oct25,Monthly,2025,Oct
S25,Season,2025,S
Sep25,Monthly,2025,Sep
W25,Season,2025,W
