Year,Russian Federation,South Africa,USA,Colombia,Australia,Other
2004,5.831107,9.303953,0,3.718125,3.996131,14.187117
2005,7.545926,8.304752,0,3.068367,4.17138,13.387309
2006,8.712558,8.569832,2.058547,4.183711,4.748275,12.192302
2007,8.976445,7.688899,3.005063,5.922966,5.626165,9.434669
2008,9.157019,8.815246,5.37277,4.667322,3.401916,9.661815
2009,9.529169,5.320576,4.42326,6.48692,3.606705,6.237698
2010,11.133634,3.288132,5.713625,7.859662,3.001667,8.987411
2011,9.687113,2.667364,7.680044,10.438263,4.10979,4.981092
2012,9.992396,2.121565,10.419561,8.534762,4.037414,4.486991
2013,11.829117,3.13217,10.380603,8.131385,1.718357,9.153028
2014,12.616681,6.097665,8.528718,5.912468,2.852499,9.383949
2015,14.392932,2.612646,7.478513,7.027565,2.55915,8.953823
2016,15.927293,1.008153,7.582194,8.15195,4.739262,7.054529
2017,16.323103,1.047503,7.099802,4.716654,0.505935,10.220339
2018,17.640868,0,8.088163,2.500208,5.183864,4.572201
2019,15.795233,0,6.873195,2.108781,4.810234,5.570302
2020,12.554604,0,4.838359,2.313984,3.931393,2.223076
2021,18.339774,0.261285,5.020342,1.778629,5.21543,0.933753
2022,11.551292,0,7.352278,5.762561,6.315925,4.301185
