Year,Austria,Belgium,Switzerland,Czech Republic,Germany,Denmark,Estonia,Spain,Finland,France,Croatia,Hungary,Ireland,Iceland,Italy,Lithuania,Luxembourg,Latvia,Netherlands,Norway,Portugal,Serbia,Sweden,Slovenia,Slovakia
2010,8.7,52.9,2.7,0,25.9,1.2,0,0,16.1,2.1,0,0,0,0.0,1.3,0,0.2,0,16.0,8.9,0,0.0,10.3,0,0
2011,11.9,37.9,3.2,0,37.5,1.3,0,0.0,33.3,1.5,0,0,0,0.0,3.9,0,0.9,0,25.5,13.4,0.0,0.0,17.0,0.1,0
2012,13.4,45.5,3.7,0,48.9,2.4,0,0,40.1,0.2,0,0,0,0.3,4.3,0,2.1,0,32.8,18.8,0.1,0.0,21.1,0,0
2013,18.6,41.7,8.7,0,68.8,1.7,0,0.0,34.8,1.3,0,0,0,0.7,0.9,0,3.5,0,39.8,14.3,0.0,0.0,29.8,0,0
2014,18.9,29.4,11.7,0.0,67.4,2.4,0,0.0,16.6,2.7,0,0,0,0.0,6.4,0,3.5,0,32.5,27.7,0.2,0.0,26.9,0,0
2015,22.5,26.2,11.3,1.7,80.3,5.4,0.3,0,14.2,3.9,0.0,0,0.3,0.0,11.2,0,4.9,0,34.3,43.2,0.2,0.0,24.1,0,0
2016,22.3,40.7,9.8,0.1,80.3,7.0,2.3,0.2,15.3,5.0,0.1,0,0.8,0.0,11.6,0,3.6,0,37.5,77.7,0,0.0,29.0,0,0
2017,20.9,39.8,11.4,0.1,87.3,5.1,2.1,1.3,10.6,8.0,0.1,0,0.9,0.2,19.8,0,3.2,0,40.3,129.0,0,0.0,49.0,0,0
2018,25.8,62.1,14.2,0.2,92.0,8.6,0.7,0,19.4,22.8,0.0,0,0.7,0.2,25.0,0,3.6,0,46.2,164.7,0,0.0,48.7,0,0
2019,27.4,63.4,16.7,0.4,96.0,12.2,2.5,0.4,23.7,25.1,0.0,0,5.2,0.1,21.2,1.0,3.9,0,50.4,198.4,0,0.0,56.6,0.7,0
2020,21.1,40.5,17.2,1.1,109.6,12.8,4.6,9.8,22.9,25.5,0.1,0,10.2,0.1,18.5,1.3,4.8,0,55.7,222.3,0.7,0.1,36.0,0.8,2.0
2021,22.6,39.6,14.6,1.5,127.4,17.1,6.5,5.5,26.1,27.6,0.2,0,13.3,0.2,29.1,1.9,3.7,0.2,50.0,258.7,6.0,0.2,43.7,1.5,1.4
2022,19.5,27.7,11.2,1.6,89.7,19.6,3.0,16.0,17.4,27.2,0.3,0.8,17.3,0.0,29.9,0.4,0.9,0.2,34.5,177.4,2.9,0.0,39.2,1.0,0.9
