Month,Biomass,Wind,Hydro,Solar,Other
2010-01-01,902977,1013653,20026054,1415,54808
2010-02-01,860147,992750,17777669,1618,49504
2010-03-01,1155249,1439988,14504344,6550,54808
2010-04-01,998913,971554,11533587,14892,52988
2010-05-01,930584,1066030,12625639,16149,54746
2010-06-01,943982,831739,11742058,19864,52980
2010-07-01,833691,701620,12265265,23092,54717
2010-08-01,843858,972532,12444124,17626,54715
2010-09-01,923850,1160611,12991606,14947,52950
2010-10-01,950883,885225,16154758,11302,54707
2010-11-01,859253,1206646,16766234,4927,52920
2010-12-01,1148668,1212517,15168601,4141,10506
2011-01-01,960687,1318459,14533868,6899,348104
2011-02-01,918387,1494644,13061742,8460,314257
2011-03-01,1106541,1398222,13439883,23045,347816
2011-04-01,933785,1074847,11050154,35433,336512
2011-05-01,988704,1165784,11881210,43430,333068
2011-06-01,1019507,994371,13037286,37910,322241
2011-07-01,1027741,1007861,14410455,37205,332830
2011-08-01,1028738,924289,14580369,34158,332641
2011-09-01,1201455,1211512,14752145,30873,321822
2011-10-01,1106930,1528273,16277477,22695,296989
2011-11-01,1127949,1142638,16132209,9277,287160
2011-12-01,1099823,2259666,16420487,4490,187227
2012-01-01,1337619,1863145,27682068,9294,141561
2012-02-01,1227219,1472265,23554887,15903,134161
2012-03-01,1291045,1555634,18532096,49696,0
2012-04-01,1240275,1216130,18579950,50454,0
2012-05-01,961572,1108458,20128160,78835,0
2012-06-01,921269,1244875,20229580,83941,0
2012-07-01,1052165,970320,19784455,84065,184395
2012-08-01,969805,798359,18943346,85388,144617
2012-09-01,1003649,1345547,17540320,78712,249871
2012-10-01,1338138,1368652,18819743,34642,283132
2012-11-01,1274691,1438274,18316751,15401,271755
2012-12-01,1344989,1898380,21225878,18094,283795
2013-01-01,1929692,2111060,26530800,12356,679574
2013-02-01,1818858,1531125,23600719,22057,622883
2013-03-01,2152900,2519052,23250452,57728,683314
2013-04-01,1829304,2000703,21522238,93975,629553
2013-05-01,1617034,1632772,24064344,102570,644254
2013-06-01,1409914,1865667,22550109,142703,618090
2013-07-01,1455798,1176368,23581800,145760,698248
2013-08-01,1503269,1313822,21240254,126605,503066
2013-09-01,1643623,1635416,20127208,119877,628539
2013-10-01,1834389,2545632,21031499,53539,595728
2013-11-01,1921141,2394997,22669831,22997,526096
2013-12-01,2000896,3508910,22549998,42455,525688
2014-01-01,2225189,3702039,23950959,22374,362686
2014-02-01,1915885,3087665,20206653,42279,424143
2014-03-01,1954403,2561800,21427282,120839,465405
2014-04-01,1777463,2038463,21575970,125115,522192
2014-05-01,1588206,1573956,22355621,144905,490673
2014-06-01,1203427,1273410,19840887,201873,433100
2014-07-01,1235858,1234028,21743737,138292,446683
2014-08-01,1424576,1922476,19923812,126163,414798
2014-09-01,1561967,1425118,18151335,137553,409291
2014-10-01,1975866,2429122,21278827,64014,479948
2014-11-01,2001038,2233597,22093547,31067,436499
2014-12-01,2092979,3284022,23321078,54648,418364
2015-01-01,2280064,4223221,26881429,33291,517081
2015-02-01,2097502,3320332,24262164,53881,463206
2015-03-01,2412526,3898679,24922466,140298,541229
2015-04-01,2162966,3068170,23136178,199564,1541799
2015-05-01,1967661,3366292,28322329,212509,1250878
2015-06-01,1543971,2741789,28067328,288153,1029035
2015-07-01,1648866,2793855,24453980,234352,1086075
2015-08-01,1653349,2191517,22258244,220612,525904
2015-09-01,1673817,2793328,21607015,197760,531068
2015-10-01,2122453,2637530,23431222,92026,577652
2015-11-01,2127131,4185179,22455858,56784,568111
2015-12-01,2239903,5277360,22489222,121808,595950
2016-01-01,3916290,10052976,31726634,779840,613094
2016-02-01,3586848,10195817,32899256,1002444,585155
2016-03-01,4316371,8635721,33386615,1755968,672359
2016-04-01,3705227,7704518,32831351,2102820,640738
2016-05-01,3595106,6924860,31914179,2409330,633783
2016-06-01,3214751,5603063,31884095,2781013,563549
2016-07-01,3488783,5702721,29348201,2804302,617796
2016-08-01,3418234,6609066,26094470,2719600,571713
2016-09-01,3342531,5188513,24120726,2119022,576326
2016-10-01,4107613,5958628,24005617,1347886,637688
2016-11-01,4192949,8227760,25473197,796272,618428
2016-12-01,4472757,7729921,26282895,869806,640875
2017-01-01,4644206,10145417,31298203,965616,679455
2017-02-01,4122184,10082567,25243600,1037739,621878
2017-03-01,4423370,10297693,28720094,2167267,696378
2017-04-01,4296764,9189363,24428604,2647973,679024
2017-05-01,3764329,7129858,28145046,2999222,646941
2017-06-01,3378383,7400364,30161727,3277317,611179
2017-07-01,3527418,7003025,28685958,3251469,641401
2017-08-01,3499050,7036038,29290090,2959440,625376
2017-09-01,3591106,6717702,28053837,2399217,617574
2017-10-01,4023874,9608891,26007423,1871301,709470
2017-11-01,4237142,9750844,29168339,1115181,759318
2017-12-01,4434786,12937236,31925323,1028779,786133
2018-01-01,4717232,12353536,37084709,988592,1230422
2018-02-01,4289424,10220079,35991782,1212939,1131711
2018-03-01,4533820,14197014,36782623,1729169,1193209
2018-04-01,4159846,9237134,34550331,2500593,1146306
2018-05-01,3882143,7095116,38187240,2799376,1186564
2018-06-01,3706020,7284171,35055071,3161818,1135881
2018-07-01,3811276,5849391,29977297,3532458,1162428
2018-08-01,4163302,7420886,29738977,3177168,1093286
2018-09-01,4297031,8547571,27962189,2659467,1083180
2018-10-01,4766219,11564574,27903141,1753975,1163289
2018-11-01,4980599,11251696,32464752,978251,1126147
2018-12-01,5178553,12306211,34169241,1140149,1138480
2019-01-01,5006374,10636446,35494002,655938,1166559
2019-02-01,4416462,9501786,29788201,1172809,1083297
2019-03-01,5210789,13925546,31560159,2024072,1154392
2019-04-01,4652945,8613866,30630907,2131543,1123005
2019-05-01,4639139,9179372,34516294,2262939,1155008
2019-06-01,4260129,7099569,37220827,2879282,1076837
2019-07-01,4275096,6685908,34396140,2786502,1133593
2019-08-01,3971807,6551700,31168801,2705029,1130741
2019-09-01,3732463,9247257,27244591,2205980,1074404
2019-10-01,4502490,9609662,29321828,1548308,1151470
2019-11-01,4903387,10643499,36199873,798912,1155314
2019-12-01,5262906,14177981,36082263,972087,1158526
2020-01-01,5052260,14549078,34811675,1085579,1194557
2020-02-01,4408203,16768055,33997836,1568772,1119071
2020-03-01,5101763,14535613,37823314,2332810,1161470
2020-04-01,4421028,9422385,33989448,3254882,1148574
2020-05-01,4378877,9577479,37613471,3636414,1155136
2020-06-01,3690149,7681881,37202644,3680519,1097070
2020-07-01,4112570,9237172,35833396,4155679,1115898
2020-08-01,4349852,8301317,34429064,3835408,1153712
2020-09-01,4445275,10714493,32260602,3128678,1097580
2020-10-01,4742293,14990870,38464753,2090772,1131316
2020-11-01,4987255,14290634,35367962,1343951,1100329
2020-12-01,5658515,16190148,41041752,1139365,1138757
