Plant Name,Output type,Owner,Country,Latitude,Longitude,Capacity
Drax,Electricity Only,Drax Power plc,GB,53.7367,-0.9965,2600
Avedøre 1 & 2,CHP,Ørsted,DK,55.6021,12.4837,801
Siekierki 2,CHP,PGNiG TERMIKA S.A.,PL,52.19,21.09,620
Chorzow 2,CHP,CEZ Group,PL,50.309,18.971,398.4
Fyn (Fynsvaerket),CHP,Municipality of Odense (97%) Municipality of Nordfyn (3%),DK,55.43,10.41,397
Skærbæk 3,CHP,Ørsted,DK,55.513,9.619,389
Studstrup 3,CHP,Ørsted,DK,56.2515,10.3438,362
Amager (Amagerværket) 1,CHP,HOFOR Energiproduktion A / S: the city of Copenhagen,DK,55.69,12.63,318
Plzenska teplarenska,CHP,Plzenska teplarenska (City of Pilsen 65%, EP Infrastructure 35%),CZ,49.753,13.4,274
Naantali 4,CHP,Turun Seudun Energiantuotanto: Fortum, 49.5% / Turun Seudun Energia, 39.5% / city of Raisio, 5%, city of Kaarina, 3%, city of Nantali, 3% ,FI,60.46,22.05,256
Polaniec 1 & 2,Electricity Only,ENEA SA,PL,50.4381,21.3368,225
Rodenhuize (Max Green),Electricity Only,Engie S.A. (Electrabel): 73%, Ackermans & van Haaren 27%,BE,51.147,3.792,205
Wytwarzanie / Bialystok,CHP,ENEA SA,PL,53.133,23.171,203.5
Łódź 4,CHP,Veolia,PL,51.741,19.44,198
Åby (Åbyverket),CHP,E.ON Varme,SE,58.618,16.232,170
Poříčí II,CHP,CEZ Group,CZ,50.57,15.96,165
Szczecin,CHP,PGE Zespół Elektrowni Dolna Odra,PL,53.413,14.586,162
Provence 4,Electricity Only,Uniper,FR,43.466,5.487,150
Värta (Värtaverket),CHP,Stockholm Exergi: Fortum, 50% / city of Stockholm 50% ,SE,59.3526,18.1009,130
Edenderry,Electricity Only,Bord na Móna,IE,53.29,-7.08,128
Kaukaan Voima,CHP,Pohjolan Voima Oyj (54%) Lappeenrannan Energia (46%),FI,61.066,28.23,125
Hodonin,CHP,CEZ Group,CZ,48.847,17.1197,107
