Date,Demand
2018-10-01,195
2018-10-02,195
2018-10-03,196
2018-10-04,197
2018-10-05,198
2018-10-06,195
2018-10-07,193
2018-10-08,200
2018-10-09,201
2018-10-10,202
2018-10-11,202
2018-10-12,204
2018-10-13,200
2018-10-14,199
2018-10-15,206
2018-10-16,207
2018-10-17,208
2018-10-18,209
2018-10-19,210
2018-10-20,206
2018-10-21,204
2018-10-22,211
2018-10-23,212
2018-10-24,212
2018-10-25,213
2018-10-26,214
2018-10-27,211
2018-10-28,209
2018-10-29,217
2018-10-30,218
2018-10-31,219
2018-11-01,220
2018-11-02,222
2018-11-03,218
2018-11-04,216
2018-11-05,228
2018-11-06,230
2018-11-07,232
2018-11-08,234
2018-11-09,234
2018-11-10,229
2018-11-11,227
2018-11-12,239
2018-11-13,241
2018-11-14,243
2018-11-15,245
2018-11-16,245
2018-11-17,234
2018-11-18,233
2018-11-19,255
2018-11-20,256
2018-11-21,256
2018-11-22,257
2018-11-23,256
2018-11-24,242
2018-11-25,240
2018-11-26,260
2018-11-27,261
2018-11-28,263
2018-11-29,265
2018-11-30,265
2018-12-01,253
2018-12-02,250
2018-12-03,271
2018-12-04,272
2018-12-05,273
2018-12-06,273
2018-12-07,273
2018-12-08,260
2018-12-09,258
2018-12-10,278
2018-12-11,278
2018-12-12,278
2018-12-13,279
2018-12-14,278
2018-12-15,265
2018-12-16,262
2018-12-17,282
2018-12-18,283
2018-12-19,284
2018-12-20,285
2018-12-21,272
2018-12-22,255
2018-12-23,256
2018-12-24,267
2018-12-25,251
2018-12-26,258
2018-12-27,268
2018-12-28,268
2018-12-29,258
2018-12-30,258
2018-12-31,269
2019-01-01,259
2019-01-02,280
2019-01-03,290
2019-01-04,289
2019-01-05,274
2019-01-06,270
2019-01-07,289
2019-01-08,289
2019-01-09,289
2019-01-10,290
2019-01-11,289
2019-01-12,275
2019-01-13,273
2019-01-14,293
2019-01-15,293
2019-01-16,293
2019-01-17,293
2019-01-18,292
2019-01-19,277
2019-01-20,273
2019-01-21,292
2019-01-22,292
2019-01-23,291
2019-01-24,291
2019-01-25,289
2019-01-26,274
2019-01-27,270
2019-01-28,289
2019-01-29,289
2019-01-30,290
2019-01-31,289
2019-02-01,288
2019-02-02,273
2019-02-03,270
2019-02-04,289
2019-02-05,289
2019-02-06,289
2019-02-07,290
2019-02-08,288
2019-02-09,273
2019-02-10,270
2019-02-11,288
2019-02-12,287
2019-02-13,286
2019-02-14,285
2019-02-15,282
2019-02-16,268
2019-02-17,264
2019-02-18,283
2019-02-19,282
2019-02-20,281
2019-02-21,280
2019-02-22,277
2019-02-23,261
2019-02-24,257
2019-02-25,275
2019-02-26,274
2019-02-27,273
2019-02-28,272
2019-03-01,269
2019-03-02,255
2019-03-03,250
2019-03-04,268
2019-03-05,267
2019-03-06,266
2019-03-07,264
2019-03-08,261
2019-03-09,247
2019-03-10,246
2019-03-11,259
2019-03-12,258
2019-03-13,256
2019-03-14,256
2019-03-15,253
2019-03-16,239
2019-03-17,237
2019-03-18,249
2019-03-19,249
2019-03-20,248
2019-03-21,247
2019-03-22,243
2019-03-23,237
2019-03-24,234
2019-03-25,239
2019-03-26,237
2019-03-27,236
2019-03-28,235
2019-03-29,229
2019-03-30,218
2019-03-31,214
2019-04-01,226
2019-04-02,225
2019-04-03,225
2019-04-04,225
2019-04-05,224
2019-04-06,213
2019-04-07,209
2019-04-08,222
2019-04-09,221
2019-04-10,220
2019-04-11,220
2019-04-12,218
2019-04-13,208
2019-04-14,203
2019-04-15,220
2019-04-16,217
2019-04-17,208
2019-04-18,207
2019-04-19,202
2019-04-20,194
2019-04-21,192
2019-04-22,198
2019-04-23,200
2019-04-24,199
2019-04-25,198
2019-04-26,197
2019-04-27,190
2019-04-28,186
2019-04-29,203
2019-04-30,202
2019-05-01,201
2019-05-02,200
2019-05-03,196
2019-05-04,184
2019-05-05,183
2019-05-06,182
2019-05-07,187
2019-05-08,185
2019-05-09,184
2019-05-10,183
2019-05-11,176
2019-05-12,175
2019-05-13,188
2019-05-14,188
2019-05-15,187
2019-05-16,186
2019-05-17,182
2019-05-18,169
2019-05-19,164
2019-05-20,180
2019-05-21,178
2019-05-22,177
2019-05-23,176
2019-05-24,173
2019-05-25,161
2019-05-26,162
2019-05-27,164
2019-05-28,167
2019-05-29,166
2019-05-30,165
2019-05-31,164
2019-06-01,158
2019-06-02,153
2019-06-03,169
2019-06-04,168
2019-06-05,168
2019-06-06,168
2019-06-07,165
2019-06-08,154
2019-06-09,151
2019-06-10,166
2019-06-11,165
2019-06-12,164
2019-06-13,163
2019-06-14,160
2019-06-15,149
2019-06-16,146
2019-06-17,161
2019-06-18,161
2019-06-19,160
2019-06-20,160
2019-06-21,157
2019-06-22,146
2019-06-23,143
2019-06-24,158
2019-06-25,158
2019-06-26,158
2019-06-27,157
2019-06-28,154
2019-06-29,144
2019-06-30,141
2019-07-01,156
2019-07-02,156
2019-07-03,155
2019-07-04,155
2019-07-05,152
2019-07-06,142
2019-07-07,139
2019-07-08,154
2019-07-09,154
2019-07-10,153
2019-07-11,153
2019-07-12,150
2019-07-13,141
2019-07-14,138
2019-07-15,152
2019-07-16,152
2019-07-17,152
2019-07-18,152
2019-07-19,149
2019-07-20,139
2019-07-21,136
2019-07-22,151
2019-07-23,150
2019-07-24,150
2019-07-25,150
2019-07-26,147
2019-07-27,138
2019-07-28,135
2019-07-29,149
2019-07-30,149
2019-07-31,149
2019-08-01,149
2019-08-02,146
2019-08-03,137
2019-08-04,134
2019-08-05,148
2019-08-06,148
2019-08-07,148
2019-08-08,148
2019-08-09,146
2019-08-10,136
2019-08-11,134
2019-08-12,148
2019-08-13,147
2019-08-14,147
2019-08-15,148
2019-08-16,145
2019-08-17,136
2019-08-18,134
2019-08-19,149
2019-08-20,149
2019-08-21,149
2019-08-22,149
2019-08-23,146
2019-08-24,137
2019-08-25,135
2019-08-26,149
2019-08-27,150
2019-08-28,150
2019-08-29,150
2019-08-30,148
2019-08-31,139
2019-09-01,137
2019-09-02,151
2019-09-03,151
2019-09-04,152
2019-09-05,152
2019-09-06,149
2019-09-07,140
2019-09-08,138
2019-09-09,153
2019-09-10,153
2019-09-11,154
2019-09-12,154
2019-09-13,152
2019-09-14,143
2019-09-15,142
2019-09-16,157
2019-09-17,158
2019-09-18,159
2019-09-19,159
2019-09-20,158
2019-09-21,148
2019-09-22,147
2019-09-23,162
2019-09-24,163
2019-09-25,164
2019-09-26,165
2019-09-27,164
2019-09-28,156
2019-09-29,155
2019-09-30,172
