Date,Country,Buyer,Seller,Techno,Project size (MW),Tenor (years),Offtaker,Remarque,Source,Location,Technology Remark,Offtaker category
2021-06-01,Denmark,TDC NET,Better Energy,Solar,,,Corporate,"The four solar parks will be located on the island of Funen and in Jutland, Denmark, and the first deliveries of green electricity are expected in early 2022. The new solar parks on Funen will be built in Svendborg and Nørre Aaby. The solar parks are expected to supply 140 GWh of electricity in 2023.",Better Energy News,on the island of Funen and in Jutland,Four solar parks,TDC NET
2021-06-01,Sweden,Hydro REIN,Eolus,Onshore Wind,260,12,Utility,Eolus together with Hydro REIN has signed an agreement to acquire the fully permitted wind power project Stor-Skälsjön from Enercon. The project is located in SE2. Supplier contracts will be entered during autumn this year and commissioning is expected to commence during the second half of 2023. Benchmark price based on PexaQuote PAP 10 years average of May 2021 for Nordics SYS with a start date of Jan 2023.,Renews,Sundsvall and Timrå,,Hydro REIN
2021-06-01,Netherlands,BASF,Vattenfall,Offshore Wind,742.5,,Corporate,Vattenfall and BASF have agreed the sale of 49.5% of Vattenfall’s offshore wind farm Hollandse Kust Zuid (HKZ). Vattenfall will use Hollandse Kust Zuid to supply fossil free electricity to its customers in the Netherlands. BASF will use its electricity share to support chemical production in sites across Europe. BASF is acquiring the electricity from the wind farm for its ownership share through a long-term power purchase agreement. The project is expected to become fully operational in 2023.,Reuters News,"18 kilometres off the coast, in the area between The Hague and Zandvoort",,BASF
2021-06-01,Finland,Amazon,n/a,Onshore Wind,52,,Corporate,COD 2022,Renews,,,Amazon
2021-06-01,Spain,Amazon,n/a,Solar,152,,Corporate,COD 2023,Renews,Castilla,,Amazon
2021-06-01,Finland,Amazon,n/a,Onshore Wind,52,,Corporate,COD 2022,Renews,,,Amazon
2021-06-01,Spain,Amazon,n/a,Solar,152,,Corporate,COD 2023,Renews,Castilla,,Amazon
2021-06-01,Spain,Alpiq,Aquila Capital,Solar,50,5,Utility,"The solar park will be operational in the third quarter of 2021 and is part of the around 2,3 GW portfolio of Aquila Capital in Spain. Benchmark price from PexaQuote's PAP solar 10 years average of the month of May 2021 with COD Jan 2022.",Alpiq news,Almeria,,Alpiq
2021-06-01,Great Britain,Axpo,Voltalia,Solar,7.2,10,Utility,"The 10-year fixed price contract is tied to Voltalia’s Tonge photovoltaic (PV) farm near Sittingbourne, in Kent. Under the deal, it will buy the plant’s entire power production and renewable energy guarantees of origin (REGOs) until 2031. Benchmark price from PexaQuote's PAP 10 years solar average of May 2021 with start date Jan 2022.",Renewables Now,Kent,,Axpo
2021-06-01,Belgium,ArcelorMittal,Storm,Onshore Wind,18,20,Corporate,Belgian wind farm developer Storm will build an 18-MW wind power project for steel manufacturer ArcelorMittal at its property in the Port of Ghent. The project will be Belgium's first subsidy-free wind farm as it will not operate under the system of green power certificates. Commissioning is scheduled for the spring of 2022.,Renewables Now,Port of Ghent,The wind farm will consist of three units of 6-MW,ArcelorMittal
