Area,Total,Africa,Asia,Eurasia,Europe,Middle East,North America,Oceania,South America
2000,129076,2163,24350,167,28589,0,60069,1273,10506
2001,127849,2189,24616,183,29934,0,55265,1116,12770
2002,138982,2256,26339,121,33895,0,59188,1100,14157
2003,147698,2222,28218,90,39859,0,58515,1142,15916
2004,161923,2302,30069,88,49207,0,59900,1429,16926
2005,183189,2321,37988,46,56730,0,62788,3649,17896
2006,192110,2318,40579,67,62591,0,61836,3711,19041
2007,207816,2289,47715,40,66817,0,61540,3750,23552
2008,220377,2378,54776,48,73144,0,58108,4187,25563
2009,232746,2413,60103,63,77705,6,57368,2239,30223
2010,265277,2479,70055,73,88250,6,62054,2220,37606
2011,282459,2479,81055,51,92372,83,61288,1550,41100
2012,305735,2697,91990,78,98757,83,62351,1884,44941
2013,328462,2764,104183,206,100851,83,63912,2010,50967
2014,357021,2843,115061,240,106125,83,69778,2352,56782
2015,375400,2828,122033,245,113896,83,69061,2570,60437
2016,391900,3042,133612,281,114937,83,68357,2871,63901
2017,402182,2851,143764,568,118988,83,63039,2709,65376
2018,426830,3128,156535,721,124380,83,66332,2647,67068
