Area,Total,Africa,Asia,Eurasia,Europe,Middle East,North America,Oceania,South America
2000,26828,785,5242,1313,6834,0,8998,441,2909
2001,28318,795,5461,1355,7426,0,9387,592,2909
2002,29561,814,6126,1327,7815,0,9521,592,2948
2003,31441,822,6170,1335,9283,0,9759,592,2996
2004,33453,831,6629,1350,10056,0,9920,598,3515
2005,37278,921,7425,1339,12314,0,9601,614,3744
2006,40518,855,8796,1339,13791,0,9760,684,4138
2007,42585,882,10095,1335,13463,0,10079,696,4758
2008,45812,898,11334,1322,14397,0,10058,705,5764
2009,50939,936,13722,1281,15728,3,10223,729,6912
2010,54227,998,13437,1244,16738,3,10426,729,9231
2011,58439,1081,14799,1207,18344,33,10382,729,10361
2012,61448,1174,15743,1207,18526,33,10818,729,11581
2013,67844,1246,17883,1244,19296,33,11732,729,13951
2014,72669,1359,20002,1417,20447,33,12328,730,14400
2015,78699,1446,23280,1419,21355,33,13430,730,14935
2016,85637,1473,28462,1462,21981,33,13490,806,15519
2017,90077,1535,31129,1498,22918,33,13429,818,16214
2018,96221,1621,34537,1544,25191,33,13411,818,16441
