Country,US,Russian Federation,Iran,Canada,Qatar,China,Australia,Norway,Saudi Arabia,Algeria
1985,447.9,424.9,9.7,80.5,5.7,13.0,13.4,26.0,17.9,37.3
1986,436.3,462.6,9.3,75.5,6.0,13.9,14.6,25.9,23.9,38.2
1987,452.0,500.5,11.4,81.9,5.8,14.0,14.9,27.9,25.5,43.1
1988,464.2,542.4,12.4,94.5,6.1,14.4,15.3,28.1,27.6,45.1
1989,470.7,566.3,15.6,100.4,6.4,15.2,17.7,28.5,28.3,48.6
1990,483.4,599.6,24.7,103.4,6.5,15.4,20.6,25.3,31.8,51.7
1991,480.8,591.3,29.2,108.9,7.9,15.6,21.6,24.8,33.4,55.7
1992,484.7,592.2,30.9,120.0,8.2,15.9,23.3,25.6,36.3,58.0
1993,490.2,568.6,16.5,132.1,8.6,16.9,24.4,24.6,38.0,58.7
1994,510.3,558.5,26.2,142.9,8.9,17.7,28.0,26.6,40.6,54.0
1995,503.3,541.2,31.9,152.7,9.3,18.1,29.6,27.6,40.8,61.5
1996,510.2,552.3,37.5,153.9,9.7,20.3,29.6,37.1,42.2,65.3
1997,511.5,523.5,39.4,159.7,13.4,22.9,29.6,42.6,43.1,74.9
1998,517.3,541.3,44.5,165.6,16.2,23.5,30.3,43.9,44.5,80.2
1999,510.1,544.4,53.0,170.5,21.4,25.4,30.7,48.1,43.9,90.1
2000,518.6,537.1,56.3,176.3,25.8,27.4,31.2,49.4,47.3,91.9
2001,531.9,534.8,62.6,179.4,27.9,30.6,32.6,53.6,51.0,86.5
2002,511.2,547.5,74.4,180.7,30.5,32.9,33.0,65.1,53.9,88.9
2003,517.9,570.6,78.1,176.0,32.5,35.3,33.7,72.4,57.1,93.9
2004,503.1,582.6,91.0,176.7,40.5,41.8,35.9,78.6,62.4,92.1
2005,489.4,589.5,96.6,179.2,47.4,49.7,38.2,85.2,67.7,84.9
2006,501.7,604.8,105.3,179.4,52.5,59.0,40.7,88.0,69.8,81.3
2007,521.9,601.6,118.0,174.7,65.4,69.8,42.8,89.6,70.7,81.6
2008,546.1,611.5,123.6,166.5,79.7,80.9,41.7,99.4,76.4,82.6
2009,557.6,536.2,135.7,155.1,92.4,85.9,46.7,103.6,74.5,76.6
2010,575.2,598.4,143.9,149.6,123.1,96.5,54.0,106.4,83.3,77.4
2011,617.4,616.8,151.0,151.1,150.4,106.2,55.7,100.5,87.6,79.6
2012,649.1,601.9,156.9,150.3,162.5,111.5,59.5,113.9,94.4,78.4
2013,655.7,614.5,157.5,151.9,168.2,121.8,61.8,107.9,95.0,79.3
2014,704.7,591.2,175.5,159.0,169.6,131.2,66.6,108.0,97.3,80.2
2015,740.3,584.4,183.5,160.8,175.0,135.7,76.0,116.2,99.2,81.4
2016,727.4,589.3,199.3,171.8,173.8,137.9,96.4,115.9,105.3,91.4
2017,745.8,635.6,220.2,177.6,172.4,149.2,112.8,123.2,109.3,93.0
2018,831.8,669.5,239.5,184.7,175.5,161.5,130.1,120.6,112.1,92.3
