Country,2012,2013,2014,2015,2016,2017,2018,2019
Germany,2246079,2207518,2078030,1998188,1932013,2250000,2415000,2821000
Sweden,1195787,1512000,1577000,1660000,1738000,1741000,1642000,1642000
Latvia,979000,1093122,1280000,1599835,1513222,1517000,1530000,1530000
France,682000,890000,1050000,950000,1150000,1350000,1450000,1450000
Austria,893000,962000,948000,1000000,1071000,1225000,1345000,1441000
Estonia,500000,610406,768796,1076994,1212413,1436000,1400000,1400000
Poland,600000,600000,700000,750000,800000,1000000,1200000,1300000
Portugal,690000,812000,1034000,1034000,606000,689218,734943,740000
Romania,340000,520000,550000,550000,700000,600000,600000,698620
Lithuania,275000,289000,250000,251000,246000,317000,445000,606000
