Country,North America,South & Central America,Europe,Middle East & Africa,China,India,Japan,Malaysia,Pakistan,Singapore,South Korea,Taiwan,Thailand
2000,6.5,0.3,32.9,0,0,0,74.0,0,0,0,20.6,6.2,0
2001,6.9,0.7,34.3,0,0,0,76.0,0,0,0,22.8,6.6,0
2002,6.8,0.7,40.7,0,0,0,75.4,0,0,0,25.0,7.3,0
2003,14.1,1.1,41.1,0,0,0,81.4,0,0,0,26.3,7.8,0
2004,18.2,0.9,40.1,0,0,2.8,78.5,0,0,0,30.7,9.6,0
2005,17.6,1.0,49.8,0,0,6.3,79.6,0,0,0,31.1,9.8,0
2006,17.2,1.0,59.0,0,1.0,8.4,85.6,0,0,0,34.5,10.8,0
2007,23.8,1.2,54.4,0,4.1,10.4,92.0,0,0,0,36.0,11.4,0
2008,13.5,1.8,57.4,0,4.6,11.3,95.4,0,0,0,38.3,12.6,0
2009,17.3,3.5,70.5,0.9,8.0,13.0,88.9,0,0,0,35.3,12.4,0
2010,20.2,9.2,89.1,3.0,13.0,11.5,96.4,0,0,0,45.0,15.0,0
2011,16.8,9.9,89.2,4.4,16.9,17.4,108.6,0,0,0,47.7,16.3,1.1
2012,11.4,14.6,68.2,4.2,20.1,18.4,119.8,0,0,0,49.7,17.1,1.4
2013,11.4,18.1,51.8,4.3,25.1,18.0,120.4,2.0,0,1.3,55.3,17.2,2.0
2014,11.5,19.6,52.1,5.3,27.3,19.1,121.8,2.2,0,2.6,51.8,18.6,1.9
2015,10.0,18.9,56.0,13.7,27.0,20.0,115.9,2.2,1.5,3.0,45.8,19.6,3.6
2016,8.3,15.2,56.5,24.5,36.8,24.3,113.6,1.5,4.0,3.2,46.3,20.4,3.9
2017,9.2,13.5,65.3,21.4,52.9,26.1,113.9,2.0,6.1,4.1,51.4,22.7,5.2
2018,9.6,14.5,71.5,12.5,73.5,30.6,113.0,1.8,9.4,4.5,60.2,22.8,6.2
