start_date;end_date;updated_date;production_type;code;name;network_connection;type;status;certification_date;initial_ncc;updated_ncc;forecast_ncc;rpc_eic_code;rpc_name
2016-12-31 23:00:00+00:00;2017-12-31 23:00:00+00:00;2018-03-19 03:03:00+00:00;WIND_ONSHORE;PDG000339;2017_P-15-000042;DSO;CPC;OPERATING;2015-11-25 23:00:00+00:00;1435.8;1704.5;1704.5;17Y100A100R0629X;Electricité de France OA Clients Marchés - Mission OA - MEOA -
2016-12-31 23:00:00+00:00;2017-12-31 23:00:00+00:00;2018-03-29 08:03:00+00:00;HYDRO_RUN_OF_RIVER_AND_POUNDAGE;PDG000583;2017_P-15-000187;DSO;CPC;OPERATING;2016-02-02 23:00:00+00:00;168.5;180.4;180.4;17Y100A100R0629X;Electricité de France OA Clients Marchés - Mission OA - MEOA -
2016-12-31 23:00:00+00:00;2017-12-31 23:00:00+00:00;2015-12-30 02:12:00+00:00;GAS_COAL_HARD_COAL;PTU000006;3CB;TSO;PRODUCTION;OPERATING;2015-05-24 22:00:00+00:00;381.0;381.0;381.0;17X100A100R0172T;DIRECT ENERGIE SA
2016-12-31 23:00:00+00:00;2017-12-31 23:00:00+00:00;2015-07-28 00:07:00+00:00;HYDRO_RESERVOIR;PTU000120;AIGLE;TSO;PRODUCTION;OPERATING;2015-07-23 22:00:00+00:00;175.4;176.2;175.4;17X100A100R00182;EDF-DOAAT
2016-12-31 23:00:00+00:00;2017-12-31 23:00:00+00:00;2015-07-28 00:07:00+00:00;HYDRO_RESERVOIR;PTU000121;AIGLE Suréquipement;TSO;PRODUCTION;OPERATING;2015-07-23 22:00:00+00:00;103.5;105.5;103.5;17X100A100R00182;EDF-DOAAT
2016-12-31 23:00:00+00:00;2017-12-31 23:00:00+00:00;2015-07-28 00:07:00+00:00;VARIOUS;PTG000119;AIN;TSO;PRODUCTION;OPERATING;2015-07-23 22:00:00+00:00;140.4;150.7;140.4;17X100A100R00182;EDF-DOAAT
2016-12-31 23:00:00+00:00;2017-12-31 23:00:00+00:00;2015-09-25 02:09:00+00:00;OTHER;PTG000230;AMFART1;TSO;PRODUCTION;OPERATING;2015-09-20 22:00:00+00:00;240.0;120.0;120.0;17X100A100F0075P;TOTAL RAFFINAGE FRANCE
2016-12-31 23:00:00+00:00;2017-12-31 23:00:00+00:00;2016-06-20 08:06:00+00:00;FOSSIL_OIL;PTG000036;ARAMON;TSO;PRODUCTION;OPERATING;2015-07-15 22:00:00+00:00;1253.0;0.0;0.0;17X100A100R00182;EDF-DOAAT
2016-12-31 23:00:00+00:00;2017-12-31 23:00:00+00:00;2015-07-28 00:07:00+00:00;VARIOUS;PTG000117;ARIEGE;TSO;PRODUCTION;OPERATING;2015-07-23 22:00:00+00:00;120.5;88.6;88.6;17X100A100R00182;EDF-DOAAT
2016-12-31 23:00:00+00:00;2017-12-31 23:00:00+00:00;2015-07-28 00:07:00+00:00;VARIOUS;PTG000112;ARRENS;TSO;PRODUCTION;OPERATING;2015-07-23 22:00:00+00:00;104.0;82.6;82.6;17X100A100R00182;EDF-DOAAT
2016-12-31 23:00:00+00:00;2017-12-31 23:00:00+00:00;2015-07-16 02:07:00+00:00;FOSSIL_OIL;PTG000040;ARRIGHI;TSO;PRODUCTION;OPERATING;2015-07-15 22:00:00+00:00;237.1;263.5;237.1;17X100A100R00182;EDF-DOAAT
2016-12-31 23:00:00+00:00;2017-12-31 23:00:00+00:00;2017-12-13 01:12:00+00:00;NUCLEAR;PTG000018;BELLEVILLE;TSO;PRODUCTION;OPERATING;2015-07-15 22:00:00+00:00;2576.3;2247.1;2534.1;17X100A100R00182;EDF-DOAAT
2016-12-31 23:00:00+00:00;2017-12-31 23:00:00+00:00;2015-07-16 02:07:00+00:00;NUCLEAR;PTG000029;BLAYAIS;TSO;PRODUCTION;OPERATING;2015-07-15 22:00:00+00:00;3430.1;3649.8;3430.1;17X100A100R00182;EDF-DOAAT
2016-12-31 23:00:00+00:00;2017-12-31 23:00:00+00:00;2015-07-16 02:07:00+00:00;GAS_COAL_HARD_COAL;PTU000044;BLENOD;TSO;PRODUCTION;OPERATING;2015-07-15 22:00:00+00:00;402.8;412.3;402.8;17X100A100R00182;EDF-DOAAT
2016-12-31 23:00:00+00:00;2017-12-31 23:00:00+00:00;2015-07-28 00:07:00+00:00;HYDRO_RESERVOIR;PTU000046;BORT;TSO;PRODUCTION;OPERATING;2015-07-23 22:00:00+00:00;161.7;154.3;161.7;17X100A100R00182;EDF-DOAAT
2016-12-31 23:00:00+00:00;2017-12-31 23:00:00+00:00;2016-09-01 02:09:00+00:00;GAS_COAL_HARD_COAL;PTU000681;BOUCHAIN;TSO;PRODUCTION;OPERATING;2016-08-29 22:00:00+00:00;521.3;537.5;521.3;17X100A100R00182;EDF-DOAAT
2016-12-31 23:00:00+00:00;2017-12-31 23:00:00+00:00;2015-07-16 02:07:00+00:00;FOSSIL_OIL;PTG000039;BRENNILIS;TSO;PRODUCTION;OPERATING;2015-07-15 22:00:00+00:00;288.7;311.3;288.7;17X100A100R00182;EDF-DOAAT
2016-12-31 23:00:00+00:00;2017-12-31 23:00:00+00:00;2015-07-28 00:07:00+00:00;HYDRO_RESERVOIR;PTU000063;BROMMAT;TSO;PRODUCTION;OPERATING;2015-07-23 22:00:00+00:00;153.1;133.6;133.6;17X100A100R00182;EDF-DOAAT
2016-12-31 23:00:00+00:00;2017-12-31 23:00:00+00:00;2015-07-28 00:07:00+00:00;HYDRO_RESERVOIR;PTU000067;BROMMAT Suréquipement;TSO;PRODUCTION;OPERATING;2015-07-23 22:00:00+00:00;205.1;231.0;205.1;17X100A100R00182;EDF-DOAAT
2016-12-31 23:00:00+00:00;2017-12-31 23:00:00+00:00;2016-09-23 08:09:00+00:00;NUCLEAR;PTG000025;BUGEY;TSO;PRODUCTION;OPERATING;2015-07-15 22:00:00+00:00;3534.0;2677.3;2675.2;17X100A100R00182;EDF-DOAAT
2016-12-31 23:00:00+00:00;2017-12-31 23:00:00+00:00;2017-12-13 01:12:00+00:00;NUCLEAR;PTG000021;CATTENOM;TSO;PRODUCTION;OPERATING;2015-07-15 22:00:00+00:00;4927.2;5057.3;4927.2;17X100A100R00182;EDF-DOAAT
2016-12-31 23:00:00+00:00;2017-12-31 23:00:00+00:00;2015-07-28 00:07:00+00:00;VARIOUS;PTG000100;CERE;TSO;PRODUCTION;OPERATING;2015-07-23 22:00:00+00:00;201.8;197.1;201.8;17X100A100R00182;EDF-DOAAT
