"DateTime","2022 Number of flights","2022 7-day moving average","2021 7-day moving average","2020 7-day moving average","2019 7-day moving average"
"2022-01-01",69503,85816,68909,108395,102167
"2022-01-02",84502,85734,69069,109083,103033
"2022-01-03",89473,85613,69390,109020,103196
"2022-01-04",90148,85757,69661,108889,103128
"2022-01-05",90326,85662,69282,109028,102787
"2022-01-06",90687,85463,68228,109401,103037
"2022-01-07",92462,86728,68545,110699,105061
"2022-01-08",84891,88927,70684,112784,106999
"2022-01-09",86724,89244,70113,113028,106891
"2022-01-10",88026,89037,68777,113094,106436
"2022-01-11",85864,88425,67768,112128,106176
"2022-01-12",86979,87947,67049,111337,105396
"2022-01-13",89806,87821,66773,111079,104549
"2022-01-14",91778,87724,66752,110793,104209
"2022-01-15",80629,87115,66700,111014,104024
"2022-01-16",77727,85829,66405,111126,103896
"2022-01-17",82835,85088,65930,111218,104050
"2022-01-18",84121,84839,65669,111329,104458
"2022-01-19",85176,84581,65366,111249,104300
"2022-01-20",89488,84536,65070,111451,103992
"2022-01-21",92191,84595,64695,111866,103909
"2022-01-22",80414,84564,64362,111905,104033
"2022-01-23",81796,85145,63774,111988,103952
"2022-01-24",85655,85548,63257,111692,103973
"2022-01-25",84860,85654,62728,111474,104119
"2022-01-26",87124,85932,62243,111437,104612
"2022-01-27",90630,86095,62042,111052,105182
"2022-01-28",93052,86218,61684,110365,105050
"2022-01-29",78920,86005,61373,109742,105035
"2022-01-30",81592,85976,61281,109033,105084
"2022-01-31",82235,85487,61047,108538,105011
"2022-02-01",79482,84719,60576,107920,104960
"2022-02-02",79858,83681,60294,106937,105079
"2022-02-03",81182,82331,60143,106023,104914
"2022-02-04",85771,81291,60165,105043,104895
"2022-02-05",81273,81627,60362,104168,104867
"2022-02-06",84822,82089,60598,103129,105042
"2022-02-07",90151,83219,60681,102282,105114
"2022-02-08",89663,84674,61273,102029,105055
"2022-02-09",90968,86261,61689,101403,104956
"2022-02-10",95881,88361,61808,100733,105190
"2022-02-11",97650,90058,61371,100466,105622
"2022-02-12",86753,90841,60710,100332,105488
"2022-02-13",85077,90877,60068,100395,105297
"2022-02-14",91622,91087,59486,100782,105724
"2022-02-15",91365,91330,58712,100772,106192
"2022-02-16",92535,91554,58336,100926,106544
"2022-02-17",94607,91372,58457,101059,106606
"2022-02-18",98240,91457,58871,101298,106757
"2022-02-19",90499,91992,59714,101705,107260
"2022-02-20",88397,92466,61046,101882,107225
"2022-02-21",91590,92461,62577,101872,107084
"2022-02-22",89400,92181,64040,102030,106857
"2022-02-23",93135,92266,65251,102449,106751
"2022-02-24",95428,92384,65808,102687,106964
"2022-02-25",100451,92700,66939,102799,107007
"2022-02-26",91840,92891,67702,102774,107356
"2022-02-27",90609,93207,67866,102910,108085
"2022-02-28",94869,93676,68112,102967,108302
"2022-03-01",94535,94409,68679,103397,108395
"2022-03-02",96022,94822,69072,103761,108441
"2022-03-03",98801,95303,69549,104001,108405
"2022-03-04",101428,95443,69928,104064,108250
"2022-03-05",88250,94930,70474,104161,108180
"2022-03-06",89024,94704,70951,104086,108245
"2022-03-07",92951,94430,71319,103987,108247
"2022-03-08",92236,94101,71632,103818,108199
"2022-03-09",92140,93547,71981,103299,108183
"2022-03-10",97133,93308,72230,102651,108574
"2022-03-11",98215,92849,72336,102116,109198
"2022-03-12",85452,92450,72636,101297,109203
"2022-03-13",90487,92659,72918,100363,108891
"2022-03-14",93793,92779,73161,99517,108651
"2022-03-15",91873,92727,73028,98288,108772
"2022-03-16",91902,92693,73250,96839,108940
"2022-03-17",95065,92398,73555,94822,108935
"2022-03-18",97354,92275,73794,91911,108873
"2022-03-19",85899,92339,74007,88365,108996
"2022-03-20",88850,92105,74275,84416,109463
"2022-03-21",92156,91871,74672,80479,109829
"2022-03-22",89489,91530,75168,75708,109827
"2022-03-23",90688,91357,75391,70288,109705
"2022-03-24",94506,91277,75702,65538,109705
"2022-03-25",98252,91405,76095,60743,109044
"2022-03-26",86234,91453,76207,56296,108515
"2022-03-27",90644,91709,76472,51832,108412
"2022-03-28",95990,92257,76660,48224,108493
"2022-03-29",97896,93458,76925,45042,108443
"2022-03-30",102321,95120,77304,42447,108436
"2022-03-31",108259,97085,77712,40332,108604
"2022-04-01",98205,97078,78173,38848,109471
"2022-04-02",81604,96417,78087,37193,110391
"2022-04-03",82574,95264,78130,35892,110874
"2022-04-04",87070,93989,77864,34566,111207
"2022-04-05",86140,92310,78163,33449,111453
"2022-04-06",88337,90312,78445,32699,111649
"2022-04-07",90237,87738,78504,31885,111645
"2022-04-08",94195,87165,78425,31214,111657
"2022-04-09",83434,87426,78796,30816,111711
"2022-04-10",84711,87732,78932,30167,110815
"2022-04-11",89377,88061,79368,29849,110867
"2022-04-12",88726,88431,79360,29442,111110
"2022-04-13",90629,88758,79341,28798,111487
"2022-04-14",93665,89248,79045,28502,111450
"2022-04-15",91173,88816,78681,28232,111596
"2022-04-16",81105,88483,78321,28028,111966
"2022-04-17",82006,88097,77938,28053,113177
"2022-04-18",88703,88001,77735,27969,113411
"2022-04-19",91395,88382,77294,27986,112605
"2022-04-20",92896,88706,76652,28086,112414
"2022-04-21",94392,88810,76296,27984,112364
"2022-04-22",94808,89329,76534,27997,112311
"2022-04-23",83569,89681,76446,28064,112427
"2022-04-24",85123,90126,76416,28152,112403
"2022-04-25",91539,90531,76306,28181,112508
"2022-04-26",92909,90748,76483,28181,113320
"2022-04-27",95276,91088,76749,28294,113672
"2022-04-28",98350,91653,77120,28500,114231
"2022-04-29",100104,92410,77317,28702,114498
"2022-04-30",86725,92860,77796,29097,114268
"2022-05-01",86710,93087,78207,29190,114037
"2022-05-02",91977,93150,78291,29212,113797
"2022-05-03",95487,93518,78088,29327,114062
"2022-05-04",97163,93788,78029,29658,114211
"2022-05-05",99795,93994,78169,30094,114290
"2022-05-06",100134,93998,77836,30359,114318
"2022-05-07",86914,94025,77673,30559,114439
"2022-05-08",88822,94327,77374,30980,114463
"2022-05-09",95436,94821,77205,31436,114343
"2022-05-10",97642,95129,77257,31878,114322
"2022-05-11",97746,95212,77114,32198,114083
"2022-05-12",100731,95346,76922,32274,113675
"2022-05-13",100992,95469,76563,32543,113632
"2022-05-14",89147,95788,76090,32783,113685
"2022-05-15",91034,96104,75720,33116,114107
"2022-05-16",96834,96303,75709,33387,114573
"2022-05-17",97693,96311,75723,33638,114698
"2022-05-18",99029,96494,75930,33839,114811
"2022-05-19",101695,96632,75867,34085,115121
"2022-05-20",100876,96615,76382,34499,115251
"2022-05-21",88739,96557,76859,34755,115216
"2022-05-22",90321,96455,77273,35046,115369
"2022-05-23",96575,96418,77555,35221,115480
"2022-05-24",97915,96450,77801,35255,115797
"2022-05-25",99270,96484,78043,35245,116010
"2022-05-26",101453,96449,78316,35139,115514
"2022-05-27",100881,96450,78569,35228,114936
"2022-05-28",89968,96626,78866,35417,114943
"2022-05-29",90049,96587,78960,35657,114822
"2022-05-30",95971,96501,78811,35870,114723
"2022-05-31",97066,96379,78638,36387,114710
"2022-06-01",100940,96618,78803,37170,115205
"2022-06-02",102643,96788,79226,38086,116372
"2022-06-03",103027,97094,79402,38632,117689
"2022-06-04",91317,97287,79631,39257,118343
"2022-06-05",94441,97915,80229,39936,118714
"2022-06-06",100546,98568,81069,40552,119253
"2022-06-07",102560,99353,81768,41167,119610
"2022-06-08",103623,99736,82113,41649,119762
"2022-06-09",107036,100364,82438,41968,119732
"2022-06-10",108413,101133,82905,42440,119598
"2022-06-11",96034,101807,83374,42964,120087
"2022-06-12",96772,102140,83596,43438,120564
"2022-06-13",102828,102466,83640,43795,120906
"2022-06-14",103656,102623,84074,44233,121333
"2022-06-15",107402,103163,84552,44843,121558
"2022-06-16",106149,103036,85018,45357,121787
"2022-06-17",108326,103023,85341,45658,122204
"2022-06-18",95879,103001,85597,45987,122191
"2022-06-19",97241,103068,85952,46274,122324
"2022-06-20",104514,103309,86397,46731,122285
"2022-06-21",105473,103569,86490,47056,122100
"2022-06-22",106252,103404,86698,47348,122113
"2022-06-23",109067,103821,86806,47638,122313
"2022-06-24",108629,103865,86823,48161,122354
"2022-06-25",98193,104195,86990,48465,122346
"2022-06-26",99229,104479,87119,48667,122408
"2022-06-27",104744,104512,87416,48996,122822
"2022-06-28",107247,104765,87910,49318,123014
"2022-06-29",107587,104956,88059,49428,123285
"2022-06-30",110001,105090,88250,49717,123304
"2022-07-01",109685,105240,88685,50376,123088
"2022-07-02",99662,105450,89153,51388,122930
"2022-07-03",99590,105502,89881,52535,122875
"2022-07-04",101679,105064,89916,52930,121502
"2022-07-05",105277,104783,89794,53945,120326
"2022-07-06",109000,104984,90094,55184,120103
"2022-07-07",111459,105193,90542,56268,120591
"2022-07-08",112972,105662,90858,56872,121323
"2022-07-09",101337,105902,91195,57476,122033
"2022-07-10",101576,106185,91670,58276,122356
"2022-07-11",107502,107017,92360,59591,123687
"2022-07-12",109045,107555,93039,60271,125118
"2022-07-13",113298,108169,93577,60759,125684
"2022-07-14",111892,108231,93874,61134,125618
"2022-07-15",112182,108118,94325,61770,125484
"2022-07-16",101327,108117,94516,62281,125453
"2022-07-17",101451,108099,94591,62673,125329
"2022-07-18",107012,108029,94940,63197,125431
"2022-07-19",108628,107970,95233,63641,125423
"2022-07-20",109540,107433,95196,63920,125406
"2022-07-21",112228,107481,95076,63934,125372
