Country,North America,S. & Cent. America,Europe,CIS,Middle East,Africa,Asia Pacific
1965,3774.35367759878,305.945522279715,3427.81048305028,1919.04409751487,136.963950431703,194.279834832532,1431.31310695786
1966,3976.54581197007,321.345568576068,3474.88556812418,2027.4788469972,142.551780652287,202.595392028245,1549.49151582926
1967,4090.35188192206,333.157198189033,3543.85813363458,2120.78608292461,148.863748791733,202.589515047767,1615.94054342557
1968,4327.79654350202,352.504135085748,3757.72664204281,2172.84811432575,157.026509444749,211.961851261608,1721.6166940486
1969,4516.95876435948,367.890272537228,4008.32648553493,2253.50294412618,164.75271303991,214.059493344787,1958.20461242657
1970,4700.61187683109,391.454564533085,4226.12087955026,2337.3433406347,171.507408617601,229.689995641582,2234.98131984515
1971,4750.11815515308,407.856570203367,4293.23579433249,2431.84718088578,181.085166528663,252.676579332229,2445.57614117424
1972,4993.48081237386,436.259834883907,4438.98269095535,2550.51458131074,196.326529141265,264.36349915183,2583.14221621212
1973,5240.86115957959,475.53010309397,4667.7190296869,2660.49556974862,216.084652518123,285.340391248811,2786.10588904803
1974,5088.62234311393,492.318702083801,4544.40787638742,2762.53070686333,228.505520248838,296.982042544468,2826.25190424216
1975,4915.99755775693,491.990709535793,4441.95528044588,2895.62215060743,225.145815329399,313.863536650876,2931.50946530435
1976,5199.31568354448,516.616678860348,4720.94680881809,2990.01137543325,256.651164579938,342.247710331777,3060.89685909382
1977,5374.25576731988,542.936371730291,4723.77190397897,3098.03606432242,291.626543492546,355.892457963619,3250.18353906609
1978,5423.43713264471,559.387703181901,4761.50497748986,3195.67324260791,301.988188898829,367.179610628419,3384.79830110233
1979,5532.08181422969,587.148917151587,4915.51504410029,3258.45773206787,354.621494320233,396.144860719598,3524.2528026953
1980,5381.08020942482,606.117394959623,4800.94132783997,3280.44474218162,339.256977397451,432.573204407524,3555.64349084249
1981,5227.84046252891,601.128174115059,4600.23279383114,3312.9856020017,366.094331793294,484.16339298763,3575.5483573633
1982,4999.39723307694,587.947300408059,4500.1625227376,3376.77120128383,405.518494512843,525.104071309356,3609.19628184406
1983,4937.93129301917,576.573857488382,4466.78647430509,3414.79517105209,446.644574120715,544.642307894677,3758.15976036804
1984,5193.79755001972,587.674385473491,4489.39061699127,3474.69636843562,500.810558720419,562.842550573798,4028.72744241461
1985,5213.3748131706,591.162857825254,5397.5812604286,2760.84176640066,531.864502378928,581.624067039987,4160.94361728413
1986,5221.94380199123,617.771160246414,5453.90824774887,2824.840261932,539.009078250863,590.774656003582,4317.79817418284
1987,5396.51136491253,635.051594520168,5509.92094032365,2885.92529961205,574.714785551127,612.696481071167,4560.19570510948
1988,5647.47779148285,652.14265712726,5458.72499918591,2926.57948765299,603.9090511107,650.638435219255,4907.13767309234
1989,5769.33232809698,666.902944120367,5445.00584409275,2917.6212996918,634.670238525198,642.423655614219,5150.30122334065
1990,5683.02966681683,653.023668104786,5460.07150086902,2848.00409829583,670.711883210143,661.935243659485,5351.47494106434
1991,5627.72617100807,661.469851285931,5326.81278596229,2760.56866744178,705.977958171315,653.520856022217,5605.82408240215
1992,5726.85035266067,702.490939050599,5072.87763238064,2626.36464827345,758.151467664708,671.298023267529,5861.49535701468
1993,5839.96799662991,718.687706455742,4907.71228108599,2389.30958315268,781.131054363319,675.432337713583,6171.12293890711
1994,5956.15918396722,763.309245042519,4741.63142066776,2172.67885298858,873.450563683329,697.682828200719,6504.27982355601
1995,5994.23358570129,797.062891582026,4805.33616442117,2016.64966550868,897.534349248143,720.279140485618,6764.04587115897
1996,6194.49764622958,824.484277070851,4888.46916406315,1949.91196661844,920.297352775293,738.878596765291,7076.74905675739
1997,6296.93834961436,867.215187621271,4824.72834848292,1823.14708622682,964.185311815811,754.245044512899,7227.07025541628
1998,6369.56702418658,905.429015102944,4837.65992536333,1810.1302237428,972.750641044336,760.010279018711,7161.84734291963
1999,6421.27399345195,901.369774333991,4757.64556149761,1807.73164882189,992.349285087879,780.507027620117,7453.76189922527
2000,6627.63766627789,915.451585197336,4789.37207055743,1798.46448047771,1044.88543558333,792.207117072302,7695.5256707147
2001,6538.85425516247,929.010305388207,4841.29446445853,1829.79663017748,1090.29991966294,818.691771797717,7947.29595055329
2002,6592.57462273976,929.346877414259,4837.62205035824,1830.25870403163,1142.20172708445,818.086898373275,8389.38714843852
2003,6668.24910903617,935.619202097566,4968.20489599127,1871.25736115984,1190.94385207946,863.402514981007,9258.02575246123
2004,6784.62795668106,987.348595973627,4986.10436711023,1887.43588661866,1281.13668329348,927.631478010177,10222.326415412
2005,6846.28661119469,1006.42691187059,4984.16717626143,1871.886274213,1339.00069200977,937.452065487231,11174.7963615477
2006,6771.52326606379,1048.99262100246,5058.0705027967,1947.56976178065,1407.11274042125,952.146662101673,11855.0113791136
2007,6888.5281352266,1106.46192564364,5014.88480813887,1958.95056333606,1483.78064060588,984.444849284633,12640.8606625424
2008,6694.04361252403,1132.86366395111,4929.92024772651,1993.6698963159,1589.44410409468,1050.09173495231,12940.3157110499
2009,6255.7175452148,1094.44045949217,4566.75222611086,1876.12883674272,1612.90948923371,1064.80275351311,13224.3275302029
2010,6475.40230478031,1173.99969719241,4674.71113539165,1939.31225184122,1709.76902211005,1095.54111510612,13976.3180262842
2011,6353.98389004653,1225.89265653028,4597.72891684323,2039.01997962194,1770.10021780316,1096.83258371689,14848.3247392671
2012,6111.34772606184,1276.57426104147,4537.4615017367,2070.36885515841,1835.8022700157,1132.66671035998,15285.603010202
2013,6283.67186507181,1335.69731674094,4429.1320141462,2035.2533216856,1893.40162503438,1159.02315349795,15637.0243922102
2014,6281.73367001252,1353.83653493108,4198.53751528319,2046.01910357941,1939.90349922324,1196.88607406013,15818.1791716959
2015,6170.75179713502,1351.83199623051,4206.91986848207,2017.20419487835,1987.25875758455,1207.32810545297,15955.8813985242
2016,6061.72066989455,1309.46541243962,4255.10808194363,2020.58821487578,2040.83875136806,1240.04122087304,16118.9665614079
2017,6023.72655591441,1298.32509370448,4295.8466090057,2022.98629356863,2050.04993054043,1262.09537492245,16475.7444494036
2018,6178.79057013919,1267.02545157456,4246.54418539181,2127.54541457729,2054.18935890282,1277.45064866888,16894.5167357411
2019,6019.25105975134,1244.17410137929,4087.09978593733,2109.75852852469,2103.63852496458,1297.29590124083,17178.5680447953
2020,5307.07127154378,1129.46868913409,3592.88473136067,1981.04192075398,2025.26580643966,1195.03400603537,16752.8800338147
