Country,Belgium,France,Germany,Italy,Netherlands,Spain,Turkey,United Kingdom,Other Europe
2005,0.002,0.013,2.056,0.034,0.051,0.052,0.002,0.011,0.0974599999999996
2006,0.002,0.015,2.899,0.045,0.053,0.13,0.0025,0.014,0.109473
2007,0.02,0.026,4.17,0.11,0.054,0.494,0.003,0.018,0.148266
2008,0.062,0.08,6.12,0.483,0.059,3.384,0.0037,0.023,0.247159999999999
2009,0.386,0.277,10.567,1.264,0.069,3.423,0.0047,0.027,0.822742000000002
2010,1.0069,1.044,18.007,3.5967,0.09,3.873,0.0057,0.095,2.40655499999999
2011,1.9791,3.0036,25.914,13.131,0.149,4.283,0.0067,1.0,4.10524899999999
2012,2.6465,4.3588,34.075,16.785,0.287,4.569,0.0117,1.753,7.24169999999999
2013,2.9024,5.2773,36.708,18.185,0.65,4.69,0.018,2.937,10.5103
2014,3.0152,6.034417,37.898,18.594,1.007,4.697,0.04,5.528,12.006383
2015,3.1317,7.137517,39.222,18.901,1.526,4.704,0.249,9.601219,13.076564
2016,3.327,7.702081,40.677,19.283,2.135,4.713,0.833,11.914,14.111919
2017,3.621,8.610437,42.291,19.682,2.911,4.723,3.421,12.76,15.458563
2018,4.0,9.691,45.156,20.108,4.608,4.764,5.063,13.073,17.941
2019,4.637,10.795,49.045,20.865,7.177,8.973,5.995,13.346,25.482
2020,5.646,11.724,53.781,21.594,10.213,11.785,6.667,13.563,32.839
