Country,France,Germany,Italy,Romania,Spain,Sweden,Turkey,United Kingdom,Other Europe
1997,0.013,2.089,0.103,0,0.512,0.122,0.009,0.328,1.634
1998,0.021,2.877,0.197,0,0.723,0.176,0.009,0.338,2.0421
1999,0.025,4.435,0.277,0,1.408,0.22,0.009,0.362,2.5438
2000,0.038,6.095,0.363,0,2.206,0.209,0.019,0.412,3.407885
2001,0.066,8.754,0.664,0,3.397,0.295,0.019,0.493,3.723903
2002,0.138,12.001,0.78,0,4.891,0.357,0.019,0.534,4.587081
2003,0.218,14.381,0.874,0,5.945,0.417,0.019,0.742,5.573936
2004,0.358,16.419,1.127,0,8.317,0.475,0.019,0.933,6.689372
2005,0.69,18.248,1.635,0.001,9.918,0.522,0.021,1.565,8.10231499999999
2006,1.412,20.474,1.902,0.001,11.722,0.585,0.059,1.955,9.864925
2007,2.223,22.116,2.702,0.003,14.82,0.823,0.146,2.477,11.175856
2008,3.403,22.794,3.525,0.005,16.555,1.089,0.364,3.446,13.239552
2009,4.582,25.732,4.879,0.015,19.176,1.475,0.792,4.422,15.537795
2010,5.912,26.903,5.794,0.389,20.693,2.017,1.32,5.4212,18.176189
2011,6.758016,28.712,6.918,0.988,21.529,2.764,1.729,6.5963,21.433047
2012,7.607496,30.979,8.102,1.822,22.789,3.606,2.261,9.0304,25.068714
2013,8.155961,33.477,8.542,2.773,22.958,4.194,2.76,11.2823,29.645125
2014,9.201425,38.614,8.683,3.244,22.925,5.088,3.63,13.074,32.598967
2015,10.29818,44.58,9.137,3.13,22.943,5.819,4.503,14.305634,35.950186
2016,11.566564,49.435,9.384,3.025,22.99,6.435,5.751,16.125696,39.81974
2017,13.499357,55.58,9.736578,3.029798,23.124479,6.611,6.51615,19.584758,42.487828
2018,14.900146,58.721,10.230246,3.032258,23.405055,7.3,7.00535,21.767,45.639553
2019,16.427,60.721,10.679,3.038,25.583,8.681,7.59115,24.095,50.125
2020,17.382,62.184,10.839,3.023,27.089,9.688,8.832,24.665,55.9
